Abeomelomys sevia
Aotus lemurinus
Aotus nancymaae
Aotus nigriceps
Aotus trivirgatus
Aotus vociferans
Aotus zonalis
Aplodontia rufa
Apodemus agrarius
Apodemus alpicola
Apodemus argenteus
Apodemus chejuensis
Apodemus chevrieri
Apodemus ciscaucasicus
Apodemus draco
Apodemus epimelas
Apodemus flavicollis
Apodemus fulvipectus
Apodemus gurkha
Apodemus hermonensis
Apodemus hyrcanicus
Apodemus iconicus
Apodemus ilex
Apodemus latronum
Apodemus mystacinus
Apodemus nigrus
Apodemus pallipes
Apodemus peninsulae
Apodemus ponticus
Apodemus rusiges
Apodemus semotus
Apodemus speciosus
Apodemus sylvaticus
Apodemus uralensis
Apodemus wardi
Apodemus witherbyi
Apomys abrae
Apomys aurorae
Apomys banahao
Apomys brownorum
Apomys camiguinensis
Apomys datae
Apomys gracilirostris
Apomys hylocoetes
Apomys insignis
Apomys iridensis
Apomys littoralis
Apomys lubangensis
Apomys magnus
Apomys microdon
Apomys minganensis
Apomys musculus
Apomys sacobianus
Apomys sierrae
Apomys zambalensis
Aproteles bulmerae
Arabitragus jayakari
Arborimus albipes
Arborimus longicaudus
Arborimus pomo
Archaeolemur edwardsi
Archaeolemur majori
Archboldomys luzonensis
Archboldomys maximus
Arctictis binturong
Arctocebus aureus
Arctocebus calabarensis
Arctocephalus australis
Arctocephalus forsteri
Arctocephalus galapagoensis
Arctocephalus gazella
Arctocephalus philippii
Arctocephalus pusillus
Arctocephalus townsendi
Arctocephalus tropicalis
Arctodus simus
Arctogalidia trivirgata
Arctonyx collaris
Ardops nichollsi
Arielulus circumdatus
Arielulus cuprosus
Ariteus flavescens
Artibeus aequatorialis
Artibeus amplus
Artibeus anderseni
Artibeus aztecus
Artibeus cinereus
Artibeus concolor
Artibeus fimbriatus
Artibeus fraterculus
Artibeus glaucus
Artibeus hartii
Artibeus hirsutus
Artibeus inopinatus
Artibeus intermedius
Artibeus jamaicensis
Artibeus lituratus
Artibeus obscurus
Artibeus planirostris
Artibeus schwartzi
Artibeus toltecus
Arvicanthis abyssinicus
Arvicanthis ansorgei
Arvicanthis blicki
Arvicanthis dembeensis
Arvicanthis nairobae
Arvicanthis neumanni
Arvicanthis niloticus
Arvicanthis rufinus
Arvicanthis somalicus
Arvicola amphibius
Arvicola italicus
Arvicola persicus
Arvicola sapidus
Arvicola scherman
Asellia arabica
Asellia italosomalica
Asellia tridens
Aselliscus dongbacanus
Aselliscus stoliczkanus
Aselliscus tricuspidatus
Atelerix albiventris
Atelerix algirus
Atelerix frontalis
Ateles belzebuth
Ateles chamek
Ateles fusciceps
Ateles geoffroyi
Ateles hybridus
Ateles marginatus
Ateles paniscus
Atelocynus microtis
Atherurus africanus
Atherurus macrourus
Atilax paludinosus
Atlantoxerus getulus
Atopogale cubana
Auliscomys boliviensis
Auliscomys pictus
Auliscomys sublimis
Avahi betsileo
Avahi cleesei
Avahi laniger
Avahi meridionalis
Avahi occidentalis
Avahi peyrierasi
Avahi unicolor
Axis axis
Axis kuhlii
Axis porcinus
Babyrousa babyrussa
Babyrousa celebensis
Baeodon alleni
Baeodon gracilis
Baiomys brunneus
Baiomys musculus
Baiomys taylori
Baiyankamys habbema
Balaena mysticetus
Balaenoptera acutorostrata
Balaenoptera bonaerensis
Balaenoptera borealis
Balaenoptera brydei
Balaenoptera edeni
Balaenoptera musculus
Balaenoptera omurai
Balaenoptera physalus
Balaenoptera ricei
Balantiopteryx infusca
Balantiopteryx io
Balantiopteryx plicata
Balionycteris maculata
Bandicota bengalensis
Bandicota indica
Bandicota savilei
Barbastella barbastellus
Barbastella beijingensis
Barbastella caspica
Barbastella darjelingensis
Barbastella leucomelas
Barbastella pacifica
Bassaricyon alleni
Bassaricyon beddardi
Bassaricyon gabbii
Bassaricyon medius
Bassaricyon neblina
Bassariscus astutus
Bassariscus sumichrasti
Bathyergus janetta
Bathyergus suillus
Batomys granti
Batomys hamiguitan
Batomys russatus
Batomys salomonseni
Batomys uragon
Bauerus dubiaquercus
Bdeogale crassicauda
Bdeogale jacksoni
Bdeogale nigripes
Beamys hindei
Beamys major
Beatragus hunteri
Belomys pearsonii
Berardius arnuxii
Berardius bairdii
Berardius minimus
Berylmys berdmorei
Berylmys bowersi
Berylmys latouchei
Berylmys mackenziei
Berylmys manipulus
Bettongia anhydra
Bettongia gaimardi
Bettongia lesueur
Bettongia penicillata
Bettongia tropica
Bibimys chacoensis
Bibimys labiosus
Bibimys torresi
Bisbalus citus
Bison antiquus
Bison bison
Bison bonasus
Bison priscus
Bison schoetensacki
Biswamoyopterus biswasi
Blanfordimys bucharensis
Blarina brevicauda
Blarina carolinensis
Blarina hylophaga
Blarinella quadraticauda
Blarinella wardi
Blarinomys breviceps
Blastocerus dichotomus
Boneia bidens
Bootherium bombifrons
Boromys offella
Bos frontalis
Bos gaurus
Bos grunniens
Bos indicus
Bos javanicus
Bos mutus
Bos primigenius
Bos sauveli
Bos taurus
Boselaphus tragocamelus
Brachiones przewalskii
Brachylagus idahoensis
Brachyphylla cavernarum
Brachyphylla nana
Brachytarsomys albicauda
Brachytarsomys villosus
Brachyteles arachnoides
Brachyteles hypoxanthus
Brachyuromys betsileoensis
Brachyuromys ramirohitra
Bradypus crinitus
Bradypus pygmaeus
Bradypus torquatus
Bradypus tridactylus
Bradypus variegatus
Bramus fuscocapillus
Bramus lutescens
Brotomys voratus
Brucepattersonius griserufescens
Brucepattersonius igniventris
Brucepattersonius nebulosus
Brucepattersonius soricinus
Bubalus arnee
Bubalus bubalis
Bubalus depressicornis
Bubalus kerabau
Bubalus mephistopheles
Bubalus mindorensis
Bubalus quarlesi
Bubalus wansijocki
Budorcas taxicolor
Budorcas tibetana
Bullimus bagobus
Bullimus gamay
Bullimus luzonicus
Bunolagus monticularis
Bunomys andrewsi
Bunomys chrysocomus
Bunomys coelestis
Bunomys penitus
Bunomys prolatus
Bunomys torajae
Burramys parvus
Cabassous centralis
Cabassous chacoensis
Cabassous tatouay
Cabassous unicinctus
Cacajao amuna
Cacajao ayresi
Cacajao calvus
Cacajao hosomi
Cacajao melanocephalus
Cacajao rubicundus
Caenolestes caniventer
Caenolestes condorensis
Caenolestes convelatus
Caenolestes fuliginosus
Caenolestes sangay
Calassomys apicalis
Calcochloris obtusirostris
Callicebus caquetensis
Callicebus coimbrai
Callicebus dubius
Callicebus nigrifrons
Callicebus ornatus
Callicebus personatus
Callimico goeldii
Callistomys pictus
Callithrix aurita
Callithrix flaviceps
Callithrix geoffroyi
Callithrix jacchus
Callithrix kuhlii
Callithrix penicillata
Callorhinus ursinus
Callosciurus adamsi
Callosciurus albescens
Callosciurus baluensis
Callosciurus caniceps
Callosciurus erythraeus
Callosciurus finlaysonii
Callosciurus honkhoaiensis
Callosciurus inornatus
Callosciurus melanogaster
Callosciurus nigrovittatus
Callosciurus notatus
Callosciurus orestes
Callosciurus phayrei
Callosciurus prevostii
Callosciurus pygerythrus
Callosciurus quinquestriatus
Callospermophilus lateralis
Callospermophilus madrensis
Callospermophilus saturatus
Calomys boliviae
Calomys callidus
Calomys callosus
Calomys cerqueirai
Calomys expulsus
Calomys fecundus
Calomys hummelincki
Calomys laucha
Calomys lepidus
Calomys musculinus
Calomys sorella
Calomys tener
Calomys tocantinsi
Calomys venustus
Calomyscus bailwardi
Calomyscus baluchi
Calomyscus behzadi
Calomyscus darvishi
Calomyscus elburzensis
Calomyscus grandis
Calomyscus hotsoni
Calomyscus kermanensis
Calomyscus kiabii
Calomyscus mystax
Calomyscus urartensis
Caloprymnus campestris
Caluromys derbianus
Caluromys lanatus
Caluromys philander
Caluromysiops irrupta
Calyptophractus retusus
Camelops hesternus
Camelus bactrianus
Camelus dromedarius
Camelus ferus
Camelus knoblochi
Canis adustus
Canis aureus
Canis himalayensis
Canis indica
Canis latrans
Canis lupaster
Canis lupus
Canis mesomelas
Canis rufus
Canis simensis
Cannomys badius
Cansumys canus
Caperea marginata
Capra aegagrus
Capra caucasica
Capra cylindricornis
Capra falconeri
Capra hircus
Capra ibex
Capra nubiana
Capra pyrenaica
Capra sibirica
Capra walie
Capreolus capreolus
Capreolus pygargus
Capricornis crispus
Capricornis milneedwardsii
Capricornis rubidus
Capricornis sumatraensis
Capricornis swinhoei
Capricornis thar
Caprolagus hispidus
Capromys geayi
Capromys pilorides
Caracal caracal
Cardiocranius paradoxus
Cardioderma cor
Carlito syrichta
Carollia benkeithi
Carollia brevicauda
Carollia castanea
Carollia manu
Carollia perspicillata
Carollia sowelli
Carollia subrufa
Carpitalpa arendsi
Carpomys melanurus
Carpomys phaeurus
Carterodon sulcidens
Casinycteris argynnis
Casinycteris campomaanensis
Casinycteris ophiodon
Cassistrellus dimissus
Cassistrellus yokdonensis
Castor canadensis
Castor fiber
Castoria angustidens
Castoroides ohioensis
Catagonus wagneri
Catopuma badia
Catopuma temminckii
Cavia aperea
Cavia cutleri
Cavia fulgida
Cavia magna
Cavia patzelti
Cavia porcellus
Cavia tschudii
Cebuella niveiventris
Cebuella pygmaea
Cebus aequatorialis
Cebus albifrons
Cebus capucinus
Cebus castaneus
Cebus imitator
Cebus kaapori
Cebus olivaceus
Cebus unicolor
Cebus versicolor
Centronycteris centralis
Centronycteris maximiliani
Centurio senex
Cephalopachus bancanus
Cephalophorus callipygus
Cephalophorus leucogaster
Cephalophorus natalensis
Cephalophorus niger
Cephalophorus nigrifrons
Cephalophorus ogilbyi
Cephalophorus rubidus
Cephalophorus rufilatus
Cephalophorus weynsi
Cephalophula zebra
Cephalophus dorsalis
Cephalophus harveyi
Cephalophus jentinki
Cephalophus silvicultor
Cephalophus spadix
Cephalorhynchus commersonii
Cephalorhynchus eutropia
Cephalorhynchus heavisidii
Cephalorhynchus hectori
Ceratotherium simum
Cercartetus caudatus
Cercartetus concinnus
Cercartetus lepidus
Cercartetus nana
Cercocebus agilis
Cercocebus atys
Cercocebus chrysogaster
Cercocebus galeritus
Cercocebus lunulatus
Cercocebus torquatus
Cercopithecus albogularis
Cercopithecus ascanius
Cercopithecus campbelli
Cercopithecus cephus
Cercopithecus denti
Cercopithecus diana
Cercopithecus doggetti
Cercopithecus erythrogaster
Cercopithecus erythrotis
Cercopithecus hamlyni
Cercopithecus kandti
Cercopithecus lomamiensis
Cercopithecus mitis
Cercopithecus mona
Cercopithecus neglectus
Cercopithecus nictitans
Cercopithecus petaurista
Cercopithecus pogonias
Cercopithecus roloway
Cercopithecus sclateri
Cercopithecus wolfi
Cerdocyon thous
Cerradomys akroai
Cerradomys goytaca
Cerradomys langguthi
Cerradomys maracajuensis
Cerradomys marinhus
Cerradomys scotti
Cerradomys subflavus
Cerradomys vivoi
Cervus albirostris
Cervus canadensis
Cervus elaphus
Cervus hanglu
Cervus nippon
Chacodelphys formosa
Chaeropus ecaudatus
Chaetodipus ammophilus
Chaetodipus arenarius
Chaetodipus artus
Chaetodipus baileyi
Chaetodipus californicus
Chaetodipus collis
Chaetodipus dalquesti
Chaetodipus durangae
Chaetodipus eremicus
Chaetodipus fallax
Chaetodipus formosus
Chaetodipus goldmani
Chaetodipus hispidus
Chaetodipus intermedius
Chaetodipus nelsoni
Chaetodipus penicillatus
Chaetodipus pernix
Chaetodipus rudinoris
Chaetodipus spinatus
Chaetomys subspinosus
Chaetophractus vellerosus
Chaetophractus villosus
Chalinolobus dwyeri
Chalinolobus gouldii
Chalinolobus morio
Chalinolobus neocaledonicus
Chalinolobus nigrogriseus
Chalinolobus picatus
Chalinolobus tuberculatus
Cheirogaleus andysabini
Cheirogaleus crossleyi
Cheirogaleus grovesi
Cheirogaleus lavasoensis
Cheirogaleus major
Cheirogaleus medius
Cheirogaleus minusculus
Cheirogaleus shethi
Cheirogaleus sibreei
Cheiromeles parvidens
Cheiromeles torquatus
Chelemys megalonyx
Cheracebus lucifer
Cheracebus lugens
Cheracebus medemi
Cheracebus purinus
Cheracebus regulus
Cheracebus torquatus
Chibchanomys orcesi
Chibchanomys trichotis
Chilomys instans
Chilonatalus micropus
Chilonatalus tumidifrons
Chimaerodipus auritus
Chimarrogale himalayica
Chimarrogale leander
Chimarrogale phaeura
Chimarrogale platycephalus
Chimarrogale styani
Chimarrogale varennei
Chinchilla chinchilla
Chinchilla lanigera
Chinchillula sahamae
Chionomys gud
Chionomys nivalis
Chionomys roberti
Chiroderma doriae
Chiroderma gorgasi
Chiroderma improvisum
Chiroderma salvini
Chiroderma scopaeum
Chiroderma trinitatum
Chiroderma villosum
Chiromyscus chiropus
Chiromyscus langbianis
Chiromyscus thomasi
Chironax melanocephalus
Chironectes minimus
Chiropodomys gliroides
Chiropodomys major
Chiropodomys pusillus
Chiropotes albinasus
Chiropotes chiropotes
Chiropotes israelita
Chiropotes sagulatus
Chiropotes satanas
Chiropotes utahickae
Chiruromys vates
Chlamyphorus truncatus
Chlorocebus aethiops
Chlorocebus cynosuros
Chlorocebus djamdjamensis
Chlorocebus dryas
Chlorocebus pygerythrus
Chlorocebus sabaeus
Chlorocebus tantalus
Chlorotalpa duthieae
Chlorotalpa sclateri
Chodsigoa caovansunga
Chodsigoa dabieshanensis
Chodsigoa furva
Chodsigoa hoffmanni
Chodsigoa hypsibia
Chodsigoa parca
Chodsigoa parva
Chodsigoa smithii
Chodsigoa sodalis
Choeroniscus godmani
Choeroniscus minor
Choeronycteris mexicana
Choloepus didactylus
Choloepus hoffmanni
Chrotogale owstoni
Chrotomys gonzalesi
Chrotomys mindorensis
Chrotomys sibuyanensis
Chrotomys silaceus
Chrotomys whiteheadi
Chrotopterus auritus
Chrysochloris asiatica
Chrysochloris stuhlmanni
Chrysocyon brachyurus
Chrysospalax trevelyani
Chrysospalax villosus
Cistugo lesueuri
Cistugo seabrae
Civettictis civetta
Clethrionomys centralis
Clethrionomys gapperi
Clethrionomys rutilus
Cloeotis percivali
Clyomys bishopi
Clyomys laticeps
Cnephaeus anatolicus
Cnephaeus bottae
Cnephaeus gobiensis
Cnephaeus hottentotus
Cnephaeus isabellinus
Cnephaeus japonensis
Cnephaeus nilssonii
Cnephaeus ognevi
Cnephaeus pachyomus
Cnephaeus serotinus
Cnephaeus tatei
Coccymys ruemmleri
Coelodonta antiquitatis
Coelops frithii
Coelops robinsoni
Coendou baturitensis
Coendou bicolor
Coendou ichillus
Coendou insidiosus
Coendou melanurus
Coendou mexicanus
Coendou nycthemera
Coendou prehensilis
Coendou pruinosus
Coendou quichua
Coendou roosmalenorum
Coendou rufescens
Coendou speratus
Coendou spinosus
Coendou vestitus
Coendou villosus
Coleura afra
Coleura kibomalandy
Coleura seychellensis
Colobus angolensis
Colobus guereza
Colobus polykomos
Colobus satanas
Colobus vellerosus
Colomys eisentrauti
Colomys goslingi
Colomys lumumbai
Colomys wologizi
Condylura cristata
Conepatus chinga
Conepatus leuconotus
Conepatus mesoleucus
Conepatus semistriatus
Congomys verschureni
Congosorex phillipsorum
Congosorex verheyeni
Conilurus albipes
Conilurus penicillatus
Connochaetes gnou
Connochaetes taurinus
Cormura brevirostris
Corynorhinus mexicanus
Corynorhinus rafinesquii
Corynorhinus townsendii
Craseomys andersoni
Craseomys rex
Craseomys smithii
Craseonycteris thonglongyai
Crateromys australis
Crateromys heaneyi
Crateromys schadenbergi
Cratogeomys bursarius
Cratogeomys castanops
Cratogeomys estor
Cratogeomys fulvescens
Cratogeomys fumosus
Cratogeomys goldmani
Cratogeomys gymnurus
Cratogeomys merriami
Cratogeomys neglectus
Cratogeomys perotensis
Cratogeomys planiceps
Cratogeomys tylorhinus
Cratogeomys zinseri
Cremnomys cutchicus
Cricetomys ansorgei
Cricetomys emini
Cricetomys gambianus
Cricetulus barabensis
Cricetulus griseus
Cricetulus longicaudatus
Cricetulus sokolovi
Cricetus cricetus
Crocidura absconditus
Crocidura afeworkbekelei
Crocidura aleksandrisi
Crocidura andamanensis
Crocidura anhuiensis
Crocidura arispa
Crocidura armenica
Crocidura attenuata
Crocidura attila
Crocidura australis
Crocidura baileyi
Crocidura baletei
Crocidura balingka
Crocidura baluensis
Crocidura barapi
Crocidura batakorum
Crocidura batesi
Crocidura beata
Crocidura beccarii
Crocidura bottegi
Crocidura brevicauda
Crocidura brunnea
Crocidura buettikoferi
Crocidura caliginea
Crocidura canariensis
Crocidura caspica
Crocidura caudicrassa
Crocidura caudipilosa
Crocidura cinderella
Crocidura crenata
Crocidura crossei
Crocidura cyanea
Crocidura darvishi
Crocidura denti
Crocidura dewi
Crocidura dolichura
Crocidura dongyangjiangensis
Crocidura douceti
Crocidura dracula
Crocidura dsinezumi
Crocidura eburnea
Crocidura elongata
Crocidura fingui
Crocidura flavescens
Crocidura foetida
Crocidura foxi
Crocidura fuliginosa
Crocidura fulvastra
Crocidura fumosa
Crocidura fuscomurina
Crocidura glassi
Crocidura goliath
Crocidura grandiceps
Crocidura grassei
Crocidura grayi
Crocidura harenna
Crocidura hikmiya
Crocidura hildegardeae
Crocidura hirta
Crocidura horsfieldii
Crocidura hutanis
Crocidura ichnusae
Crocidura indochinensis
Crocidura jouvenetae
Crocidura kegoensis
Crocidura kivuana
Crocidura lamottei
Crocidura lanosa
Crocidura lasiura
Crocidura latona
Crocidura lea
Crocidura lepidura
Crocidura leucodon
Crocidura levicula
Crocidura littoralis
Crocidura longipes
Crocidura lucina
Crocidura ludia
Crocidura luna
Crocidura lusitania
Crocidura macmillani
Crocidura makeda
Crocidura malayana
Crocidura maquassiensis
Crocidura mariquensis
Crocidura maurisca
Crocidura maxi
Crocidura mdumai
Crocidura mediocris
Crocidura microelongata
Crocidura mindorus
Crocidura miya
Crocidura monacha
Crocidura monax
Crocidura monticola
Crocidura montis
Crocidura munissii
Crocidura muricauda
Crocidura musseri
Crocidura mutesae
Crocidura nana
Crocidura nanilla
Crocidura neglecta
Crocidura negligens
Crocidura negrina
Crocidura newmarki
Crocidura nicobarica
Crocidura nigeriae
Crocidura nigricans
Crocidura nigripes
Crocidura nimbae
Crocidura nimbasilvanus
Crocidura ninoyi
Crocidura niobe
Crocidura normalis
Crocidura obscurior
Crocidura odorata
Crocidura olivieri
Crocidura ordinaria
Crocidura orientalis
Crocidura orii
Crocidura pachyura
Crocidura palawanensis
Crocidura pallida
Crocidura panayensis
Crocidura paradoxura
Crocidura parva
Crocidura parvipes
Crocidura pergrisea
Crocidura persica
Crocidura phaeura
Crocidura phanluongi
Crocidura phuquocensis
Crocidura poensis
Crocidura pseudorhoditis
Crocidura quasielongata
Crocidura ramona
Crocidura rapax
Crocidura rhoditis
Crocidura roosevelti
Crocidura russula
Crocidura sapaensis
Crocidura serezkyensis
Crocidura shantungensis
Crocidura sibirica
Crocidura sicula
Crocidura silacea
Crocidura similiturba
Crocidura sokolovi
Crocidura solita
Crocidura somalica
Crocidura stenocephala
Crocidura suaveolens
Crocidura tanakae
Crocidura tansaniana
Crocidura tarfayensis
Crocidura telfordi
Crocidura tenebrosa
Crocidura thalia
Crocidura theresae
Crocidura trichura
Crocidura turba
Crocidura usambarae
Crocidura viaria
Crocidura voi
Crocidura vorax
Crocidura vosmaeri
Crocidura watasei
Crocidura wimmeri
Crocidura wuchihensis
Crocidura yaldeni
Crocidura zaitsevi
Crocidura zaodon
Crocidura zarudnyi
Crocidura zimmermanni
Crocuta crocuta
Crossarchus alexandri
Crossarchus ansorgei
Crossarchus obscurus
Crossarchus platycephalus
Crossogale hantu
Crossomys moncktoni
Crunomys celebensis
Crunomys fallax
Crunomys melanius
Crunomys suncoides
Cryptochloris wintoni
Cryptochloris zyli
Cryptomys anomalus
Cryptomys holosericeus
Cryptomys hottentotus
Cryptomys mahali
Cryptomys nimrodi
Cryptomys pretoriae
Cryptonanus agricolai
Cryptonanus chacoensis
Cryptonanus guahybae
Cryptonanus unduaviensis
Cryptoprocta ferox
Cryptotis alticolus
Cryptotis berlandieri
Cryptotis celaque
Cryptotis evaristoi
Cryptotis goldmani
Cryptotis goodwini
Cryptotis gracilis
Cryptotis griseoventris
Cryptotis lacertosus
Cryptotis magnus
Cryptotis mam
Cryptotis mayensis
Cryptotis mccarthyi
Cryptotis merriami
Cryptotis mexicanus
Cryptotis montivagus
Cryptotis nelsoni
Cryptotis niausa
Cryptotis nigrescens
Cryptotis obscurus
Cryptotis oreoryctes
Cryptotis orophilus
Cryptotis parvus
Cryptotis peregrinus
Cryptotis phillipsii
Cryptotis soricinus
Cryptotis thomasi
Cryptotis tropicalis
Ctenodactylus gundi
Ctenodactylus vali
Ctenomys andersoni
Ctenomys argentinus
Ctenomys australis
Ctenomys azarae
Ctenomys bergi
Ctenomys bidaui
Ctenomys boliviensis
Ctenomys bonettoi
Ctenomys brasiliensis
Ctenomys chechehet
Ctenomys colburni
Ctenomys coludo
Ctenomys conoveri
Ctenomys contrerasi
Ctenomys coyhaiquensis
Ctenomys dorbignyi
Ctenomys dorsalis
Ctenomys eileenae
Ctenomys emilianus
Ctenomys erikacuellarae
Ctenomys famosus
Ctenomys flamarioni
Ctenomys fochi
Ctenomys fodax
Ctenomys frater
Ctenomys fulvus
Ctenomys goodfellowi
Ctenomys haigi
Ctenomys heniacamiare
Ctenomys ibicuiensis
Ctenomys johannis
Ctenomys juris
Ctenomys lami
Ctenomys latro
Ctenomys lessai
Ctenomys leucodon
Ctenomys lewisi
Ctenomys magellanicus
Ctenomys maulinus
Ctenomys mendocinus
Ctenomys minutus
Ctenomys nattereri
Ctenomys occultus
Ctenomys opimus
Ctenomys osvaldoreigi
Ctenomys pearsoni
Ctenomys perrensi
Ctenomys pilarensis
Ctenomys plebiscitum
Ctenomys pontifex
Ctenomys porteousi
Ctenomys pulcer
Ctenomys pundti
Ctenomys rionegrensis
Ctenomys robore
Ctenomys roigi
Ctenomys rosendopascuali
Ctenomys saltarius
Ctenomys scagliai
Ctenomys sericeus
Ctenomys sociabilis
Ctenomys steinbachi
Ctenomys talarum
Ctenomys thalesi
Ctenomys torquatus
Ctenomys tuconax
Ctenomys tucumanus
Ctenomys uco
Ctenomys verzi
Ctenomys yatesi
Ctenomys yolandae
Cuniculus paca
Cuniculus taczanowskii
Cuon alpinus
Cuscomys ashaninka
Cyclopes didactylus
Cyclopes rufus
Cyclopes xinguensis
Cynictis penicillata
Cynocephalus volans
Cynogale bennetti
Cynomops abrasus
Cynomops greenhalli
Cynomops kuizha
Cynomops mexicanus
Cynomops paranus
Cynomops planirostris
Cynomys gunnisoni
Cynomys leucurus
Cynomys ludovicianus
Cynomys mexicanus
Cynomys parvidens
Cynopterus brachyotis
Cynopterus horsfieldii
Cynopterus nusatenggara
Cynopterus sphinx
Cynopterus titthaecheilus
Cystophora cristata
Cyttarops alecto
Dacnomys millardi
Dactylomys boliviensis
Dactylomys dactylinus
Dactylomys peruanus
Dactylopsila palpator
Dactylopsila trivirgata
Dama dama
Dama mesopotamica
Damaliscus lunatus
Damaliscus pygargus
Daptomys ferreirai
Daptomys mussoi
Dasycercus blythi
Dasycercus cristicauda
