number,scientific_name,english_common_name
304,Arborimus longicaudus,Mouse
305,Arborimus pomo,Mouse
306,Archaeolemur edwardsi,Lemur
307,Archaeolemur majori,Lemur
308,Archboldomys luzonensis,Mouse
309,Archboldomys maximus,Mouse
310,Arctictis binturong,Binturong
311,Arctocebus aureus,Monkey
312,Arctocebus calabarensis,Monkey
313,Arctocephalus australis,Fur Seal
314,Arctocephalus forsteri,Fur Seal
315,Arctocephalus galapagoensis,Galapagos Fur Seal
316,Arctocephalus gazella,Seal
317,Arctocephalus philippii,Seal
318,Arctocephalus pusillus,Seal
319,Arctocephalus townsendi,Seal
320,Arctocephalus tropicalis,Seal
321,Arctodus simus,Short-faced Bear
322,Arctogalidia trivirgata,Civet
323,Arctonyx collaris,Badger
324,Ardops nichollsi,Bat
325,Arielulus circumdatus,Bat
326,Arielulus cuprosus,Bat
327,Ariteus flavescens,Bat
328,Artibeus aequatorialis,Bat
329,Artibeus amplus,Bat
330,Artibeus anderseni,Bat
331,Artibeus aztecus,Bat
332,Artibeus cinereus,Bat
333,Artibeus concolor,Bat
334,Artibeus fimbriatus,Bat
335,Artibeus fraterculus,Bat
336,Artibeus glaucus,Bat
337,Artibeus hartii,Bat
338,Artibeus hirsutus,Bat
339,Artibeus inopinatus,Bat
340,Artibeus intermedius,Bat
341,Artibeus jamaicensis,Bat
342,Artibeus lituratus,Bat
343,Artibeus obscurus,Bat
344,Artibeus planirostris,Bat
345,Artibeus schwartzi,Bat
346,Artibeus toltecus,Bat
347,Arvicanthis abyssinicus,Mouse
348,Arvicanthis ansorgei,Mouse
349,Arvicanthis blicki,Mouse
350,Arvicanthis dembeensis,Mouse
351,Arvicanthis nairobae,Mouse
352,Arvicanthis neumanni,Mouse
353,Arvicanthis niloticus,Mouse
354,Arvicanthis rufinus,Mouse
355,Arvicanthis somalicus,Mouse
356,Arvicola amphibius,Water Vole
357,Arvicola italicus,Vole
358,Arvicola persicus,Mouse
359,Arvicola sapidus,Water Vole
360,Arvicola scherman,Vole
361,Asellia arabica,Bat
362,Asellia italosomalica,Bat
363,Asellia tridens,Bat
364,Aselliscus dongbacanus,Bat
365,Aselliscus stoliczkanus,Bat
366,Aselliscus tricuspidatus,Bat
367,Atelerix albiventris,Hedgehog
368,Atelerix algirus,Hedgehog
369,Atelerix frontalis,Hedgehog
370,Ateles belzebuth,Monkey
371,Ateles chamek,Monkey
372,Ateles fusciceps,Monkey
373,Ateles geoffroyi,Spider Monkey
374,Ateles hybridus,Monkey
375,Ateles marginatus,Monkey
376,Ateles paniscus,Spider Monkey
377,Atelocynus microtis,Fox
378,Atherurus africanus,Porcupine
379,Atherurus macrourus,Porcupine
380,Atilax paludinosus,Marsh Mongoose
381,Atlantoxerus getulus,Squirrel
382,Atopogale cubana,Shrew
383,Auliscomys boliviensis,Mouse
384,Auliscomys pictus,Mouse
385,Auliscomys sublimis,Mouse
386,Avahi betsileo,Lemur
387,Avahi cleesei,Lemur
388,Avahi laniger,Lemur
389,Avahi meridionalis,Lemur
390,Avahi occidentalis,Lemur
391,Avahi peyrierasi,Lemur
392,Avahi unicolor,Lemur
393,Axis axis,Deer
394,Axis kuhlii,Deer
395,Axis porcinus,Hog Deer
396,Babyrousa babyrussa,Babirusa
397,Babyrousa celebensis,Babirusa
400,Baiomys brunneus,Mouse
401,Baiomys musculus,Mouse
402,Baiomys taylori,Mouse
404,Balaena mysticetus,Bowhead Whale
405,Balaenoptera acutorostrata,Minke Whale
406,Balaenoptera bonaerensis,Whale
407,Balaenoptera borealis,Whale
408,Balaenoptera brydei,Whale
409,Balaenoptera edeni,Whale
410,Balaenoptera musculus,Blue Whale
411,Balaenoptera omurai,Whale
412,Balaenoptera physalus,Fin Whale
413,Balaenoptera ricei,Whale
414,Balantiopteryx infusca,Bat
415,Balantiopteryx io,Bat
416,Balantiopteryx plicata,Bat
417,Balionycteris maculata,Bat
418,Bandicota bengalensis,Rat
419,Bandicota indica,Rat
420,Bandicota savilei,Rat
421,Barbastella barbastellus,Bat
422,Barbastella beijingensis,Bat
423,Barbastella caspica,Bat
424,Barbastella darjelingensis,Bat
425,Barbastella leucomelas,Bat
426,Barbastella pacifica,Bat
427,Bassaricyon alleni,Olingo
429,Bassaricyon gabbii,Olingo
431,Bassaricyon neblina,Olinguito
432,Bassariscus astutus,Ringtail
433,Bassariscus sumichrasti,Raccoon
434,Bathyergus janetta,Mole
435,Bathyergus suillus,Mole
436,Batomys granti,Mouse
437,Batomys hamiguitan,Mouse
438,Batomys russatus,Mouse
439,Batomys salomonseni,Mouse
440,Batomys uragon,Mouse
441,Bauerus dubiaquercus,Bat
442,Bdeogale crassicauda,Mongoose
443,Bdeogale jacksoni,Mongoose
444,Bdeogale nigripes,Mongoose
445,Beamys hindei,Mouse
446,Beamys major,Mouse
447,Beatragus hunteri,Antelope
448,Belomys pearsonii,Flying Squirrel
449,Berardius arnuxii,Whale
450,Berardius bairdii,Whale
451,Berardius minimus,Whale
452,Berylmys berdmorei,Rat
453,Berylmys bowersi,Mouse
454,Berylmys latouchei,Rat
455,Berylmys mackenziei,Rat
456,Berylmys manipulus,Rat
458,Bettongia gaimardi,Bettong
459,Bettongia lesueur,Boodie
460,Bettongia penicillata,Bettong
462,Bibimys chacoensis,Mouse
463,Bibimys labiosus,Mouse
464,Bibimys torresi,Mouse
466,Bison antiquus,Bison
467,Bison bison,Bison
468,Bison bonasus,European Bison
469,Bison priscus,Bison
470,Bison schoetensacki,Bison
471,Biswamoyopterus biswasi,Flying Squirrel
472,Blanfordimys bucharensis,Mouse
473,Blarina brevicauda,Shrew
474,Blarina carolinensis,Shrew
475,Blarina hylophaga,Shrew
476,Blarinella quadraticauda,Shrew
477,Blarinella wardi,Shrew
478,Blarinomys breviceps,Mouse
479,Blastocerus dichotomus,Deer
481,Bootherium bombifrons,Muskox
483,Bos frontalis,Gaur
484,Bos gaurus,Gaur
485,Bos grunniens,Yak
486,Bos indicus,Zebu
487,Bos javanicus,Banteng
488,Bos mutus,Yak
489,Bos primigenius,Cattle
491,Bos taurus,Cow
492,Boselaphus tragocamelus,Nilgai
494,Brachylagus idahoensis,Pygmy Rabbit
495,Brachyphylla cavernarum,Bat
496,Brachyphylla nana,Bat
497,Brachytarsomys albicauda,Mouse
498,Brachytarsomys villosus,Mouse
499,Brachyteles arachnoides,Monkey
500,Brachyteles hypoxanthus,Monkey
501,Brachyuromys betsileoensis,Mouse
502,Brachyuromys ramirohitra,Mouse
503,Bradypus crinitus,Sloth
504,Bradypus pygmaeus,Sloth
505,Bradypus torquatus,Sloth
506,Bradypus tridactylus,Three-toed Sloth
507,Bradypus variegatus,Sloth
508,Bramus fuscocapillus,Mouse
510,Brotomys voratus,Mouse
511,Brucepattersonius griserufescens,Mouse
512,Brucepattersonius igniventris,Mouse
513,Brucepattersonius nebulosus,Mouse
514,Brucepattersonius soricinus,Mouse
515,Bubalus arnee,Water Buffalo
516,Bubalus bubalis,Water Buffalo
517,Bubalus depressicornis,Buffalo
518,Bubalus kerabau,Water Buffalo
519,Bubalus mephistopheles,Buffalo
520,Bubalus mindorensis,Tamaraw
521,Bubalus quarlesi,Buffalo
523,Budorcas taxicolor,Takin
524,Budorcas tibetana,Takin
525,Bullimus bagobus,Rat
526,Bullimus gamay,Rat
527,Bullimus luzonicus,Rat
528,Bunolagus monticularis,Rabbit
529,Bunomys andrewsi,Mouse
530,Bunomys chrysocomus,Mouse
531,Bunomys coelestis,Mouse
532,Bunomys penitus,Mouse
533,Bunomys prolatus,Mouse
534,Bunomys torajae,Mouse
535,Burramys parvus,Mountain Pygmy Possum
536,Cabassous centralis,Armadillo
537,Cabassous chacoensis,Armadillo
538,Cabassous tatouay,Armadillo
539,Cabassous unicinctus,Armadillo
540,Cacajao amuna,Monkey
541,Cacajao ayresi,Monkey
542,Cacajao calvus,Monkey
543,Cacajao hosomi,Monkey
544,Cacajao melanocephalus,Monkey
545,Cacajao rubicundus,Monkey
549,Caenolestes fuliginosus,Shrew Opossum
551,Calassomys apicalis,Mouse
552,Calcochloris obtusirostris,Golden Mole
553,Callicebus caquetensis,Monkey
554,Callicebus coimbrai,Monkey
555,Callicebus dubius,Monkey
556,Callicebus nigrifrons,Monkey
557,Callicebus ornatus,Monkey
558,Callicebus personatus,Monkey
559,Callimico goeldii,Monkey
561,Callithrix aurita,Monkey
562,Callithrix flaviceps,Monkey
563,Callithrix geoffroyi,Monkey
564,Callithrix jacchus,Marmoset
565,Callithrix kuhlii,Monkey
566,Callithrix penicillata,Monkey
567,Callorhinus ursinus,Northern Fur Seal
568,Callosciurus adamsi,Squirrel
569,Callosciurus albescens,Squirrel
570,Callosciurus baluensis,Squirrel
571,Callosciurus caniceps,Squirrel
572,Callosciurus erythraeus,Squirrel
573,Callosciurus finlaysonii,Squirrel
574,Callosciurus honkhoaiensis,Squirrel
575,Callosciurus inornatus,Squirrel
576,Callosciurus melanogaster,Squirrel
577,Callosciurus nigrovittatus,Squirrel
578,Callosciurus notatus,Squirrel
579,Callosciurus orestes,Squirrel
580,Callosciurus phayrei,Squirrel
581,Callosciurus prevostii,Squirrel
582,Callosciurus pygerythrus,Squirrel
583,Callosciurus quinquestriatus,Squirrel
584,Callospermophilus lateralis,Chipmunk
585,Callospermophilus madrensis,Squirrel
586,Callospermophilus saturatus,Squirrel
587,Calomys boliviae,Mouse
588,Calomys callidus,Mouse
589,Calomys callosus,Mouse
590,Calomys cerqueirai,Mouse
591,Calomys expulsus,Mouse
592,Calomys fecundus,Mouse
593,Calomys hummelincki,Mouse
594,Calomys laucha,Mouse
595,Calomys lepidus,Mouse
596,Calomys musculinus,Mouse
597,Calomys sorella,Mouse
598,Calomys tener,Mouse
599,Calomys tocantinsi,Mouse
600,Calomys venustus,Mouse
601,Calomyscus bailwardi,Mouse
602,Calomyscus baluchi,Mouse
603,Calomyscus behzadi,Mouse
604,Calomyscus darvishi,Mouse
605,Calomyscus elburzensis,Mouse
606,Calomyscus grandis,Mouse
607,Calomyscus hotsoni,Mouse
608,Calomyscus kermanensis,Mouse
609,Calomyscus kiabii,Mouse
610,Calomyscus mystax,Mouse
611,Calomyscus urartensis,Mouse
613,Caluromys derbianus,Opossum
614,Caluromys lanatus,Opossum
615,Caluromys philander,Opossum
618,Camelops hesternus,Camel
619,Camelus bactrianus,Bactrian Camel
620,Camelus dromedarius,Dromedary Camel
621,Camelus ferus,Wild Bactrian Camel
622,Camelus knoblochi,Camel
623,Canis adustus,Jackal
624,Canis aureus,Jackal
625,Canis himalayensis,Himalayan Wolf
626,Canis indica,Dog
627,Canis latrans,Coyote
628,Canis lupaster,Wolf
629,Canis lupus,Wolf
630,Canis mesomelas,Jackal
631,Canis rufus,Red Wolf
632,Canis simensis,Wolf
634,Cansumys canus,Mouse
635,Caperea marginata,Whale
636,Capra aegagrus,Goat
637,Capra caucasica,Goat
638,Capra cylindricornis,Goat
639,Capra falconeri,Markhor
640,Capra hircus,Goat
641,Capra ibex,Ibex
642,Capra nubiana,Nubian Ibex
643,Capra pyrenaica,Ibex
644,Capra sibirica,Siberian Ibex
645,Capra walie,Walia Ibex
646,Capreolus capreolus,Roe Deer
647,Capreolus pygargus,Roe Deer
648,Capricornis crispus,Japanese Serow
649,Capricornis milneedwardsii,Serow
650,Capricornis rubidus,Serow
651,Capricornis sumatraensis,Serow
653,Capricornis thar,Serow
654,Caprolagus hispidus,Hare
657,Caracal caracal,Caracal
658,Cardiocranius paradoxus,Mouse
659,Cardioderma cor,Bat
660,Carlito syrichta,Tarsier
661,Carollia benkeithi,Bat
662,Carollia brevicauda,Bat
663,Carollia castanea,Bat
664,Carollia manu,Bat
665,Carollia perspicillata,Bat
666,Carollia sowelli,Bat
667,Carollia subrufa,Bat
668,Carpitalpa arendsi,Mole
669,Carpomys melanurus,Mouse
670,Carpomys phaeurus,Mouse
672,Casinycteris argynnis,Bat
673,Casinycteris campomaanensis,Bat
674,Casinycteris ophiodon,Bat
675,Cassistrellus dimissus,Bat
676,Cassistrellus yokdonensis,Bat
677,Castor canadensis,Beaver
678,Castor fiber,Beaver
680,Castoroides ohioensis,Giant Beaver
681,Catagonus wagneri,Peccary
682,Catopuma badia,Cat
683,Catopuma temminckii,Golden Cat
684,Cavia aperea,Guinea Pig
685,Cavia cutleri,Guinea Pig
686,Cavia fulgida,Guinea Pig
687,Cavia magna,Guinea Pig
688,Cavia patzelti,Guinea Pig
689,Cavia porcellus,Guinea Pig
690,Cavia tschudii,Guinea Pig
691,Cebuella niveiventris,Pygmy Marmoset
692,Cebuella pygmaea,Pygmy Marmoset
693,Cebus aequatorialis,Monkey
694,Cebus albifrons,Monkey
695,Cebus capucinus,Monkey
696,Cebus castaneus,Monkey
697,Cebus imitator,Monkey
698,Cebus kaapori,Monkey
699,Cebus olivaceus,Monkey
700,Cebus unicolor,Monkey
701,Cebus versicolor,Monkey
702,Centronycteris centralis,Bat
703,Centronycteris maximiliani,Bat
704,Centurio senex,Bat
705,Cephalopachus bancanus,Tarsier
706,Cephalophorus callipygus,Duiker
707,Cephalophorus leucogaster,Duiker
708,Cephalophorus natalensis,Duiker
709,Cephalophorus niger,Duiker
710,Cephalophorus nigrifrons,Duiker
711,Cephalophorus ogilbyi,Duiker
715,Cephalophula zebra,Zebra Duiker
716,Cephalophus dorsalis,Duiker
717,Cephalophus harveyi,Antelope
718,Cephalophus jentinki,Duiker
719,Cephalophus silvicultor,Duiker
720,Cephalophus spadix,Antelope
721,Cephalorhynchus commersonii,Dolphin
722,Cephalorhynchus eutropia,Dolphin
723,Cephalorhynchus heavisidii,Dolphin
724,Cephalorhynchus hectori,Dolphin
725,Ceratotherium simum,White Rhinoceros
726,Cercartetus caudatus,Possum
727,Cercartetus concinnus,Mouse
728,Cercartetus lepidus,Mouse
729,Cercartetus nana,Pygmy Possum
730,Cercocebus agilis,Monkey
731,Cercocebus atys,Monkey
732,Cercocebus chrysogaster,Monkey
733,Cercocebus galeritus,Monkey
734,Cercocebus lunulatus,Monkey
735,Cercocebus torquatus,Monkey
736,Cercopithecus albogularis,Monkey
737,Cercopithecus ascanius,Monkey
738,Cercopithecus campbelli,Monkey
739,Cercopithecus cephus,Monkey
740,Cercopithecus denti,Monkey
741,Cercopithecus diana,Monkey
742,Cercopithecus doggetti,Monkey
743,Cercopithecus erythrogaster,Monkey
744,Cercopithecus erythrotis,Monkey
745,Cercopithecus hamlyni,Monkey
746,Cercopithecus kandti,Monkey
747,Cercopithecus lomamiensis,Monkey
748,Cercopithecus mitis,Monkey
749,Cercopithecus mona,Monkey
750,Cercopithecus neglectus,Monkey
751,Cercopithecus nictitans,Monkey
752,Cercopithecus petaurista,Monkey
753,Cercopithecus pogonias,Monkey
754,Cercopithecus roloway,Monkey
755,Cercopithecus sclateri,Monkey
756,Cercopithecus wolfi,Monkey
757,Cerdocyon thous,Fox
758,Cerradomys akroai,Mouse
759,Cerradomys goytaca,Mouse
760,Cerradomys langguthi,Mouse
761,Cerradomys maracajuensis,Mouse
762,Cerradomys marinhus,Mouse
763,Cerradomys scotti,Mouse
764,Cerradomys subflavus,Mouse
765,Cerradomys vivoi,Mouse
766,Cervus albirostris,Deer
767,Cervus canadensis,Elk
768,Cervus elaphus,Deer
769,Cervus hanglu,Deer
770,Cervus nippon,Sika Deer
772,Chaeropus ecaudatus,Pig-footed Bandicoot
773,Chaetodipus ammophilus,Mouse
774,Chaetodipus arenarius,Mouse
775,Chaetodipus artus,Mouse
776,Chaetodipus baileyi,Mouse
777,Chaetodipus californicus,Mouse
778,Chaetodipus collis,Mouse
779,Chaetodipus dalquesti,Mouse
780,Chaetodipus durangae,Mouse
781,Chaetodipus eremicus,Mouse
782,Chaetodipus fallax,Mouse
783,Chaetodipus formosus,Mouse
784,Chaetodipus goldmani,Mouse
785,Chaetodipus hispidus,Mouse
786,Chaetodipus intermedius,Mouse
787,Chaetodipus nelsoni,Mouse
788,Chaetodipus penicillatus,Pocket Mouse
789,Chaetodipus pernix,Mouse
790,Chaetodipus rudinoris,Mouse
791,Chaetodipus spinatus,Mouse
792,Chaetomys subspinosus,Porcupine
793,Chaetophractus vellerosus,Armadillo
794,Chaetophractus villosus,Armadillo
795,Chalinolobus dwyeri,Bat
796,Chalinolobus gouldii,Bat
797,Chalinolobus morio,Bat
798,Chalinolobus neocaledonicus,Bat
799,Chalinolobus nigrogriseus,Bat
800,Chalinolobus picatus,Bat
801,Chalinolobus tuberculatus,Bat
803,Cheirogaleus crossleyi,Mouse Lemur
806,Cheirogaleus major,Dwarf Lemur
807,Cheirogaleus medius,Mouse Lemur
810,Cheirogaleus sibreei,Lemur
811,Cheiromeles parvidens,Bat
812,Cheiromeles torquatus,Bat
813,Chelemys megalonyx,Mouse
814,Cheracebus lucifer,Monkey
815,Cheracebus lugens,Monkey
816,Cheracebus medemi,Monkey
817,Cheracebus purinus,Monkey
818,Cheracebus regulus,Monkey
819,Cheracebus torquatus,Monkey
820,Chibchanomys orcesi,Mouse
821,Chibchanomys trichotis,Mouse
822,Chilomys instans,Mouse
823,Chilonatalus micropus,Bat
824,Chilonatalus tumidifrons,Bat
826,Chimarrogale himalayica,Water Shrew
827,Chimarrogale leander,Water Shrew
828,Chimarrogale phaeura,Shrew
829,Chimarrogale platycephalus,Water Shrew
830,Chimarrogale styani,Water Shrew
831,Chimarrogale varennei,Shrew
832,Chinchilla chinchilla,Chinchilla
833,Chinchilla lanigera,Chinchilla
835,Chionomys gud,Mouse
836,Chionomys nivalis,Mouse
837,Chionomys roberti,Mouse
838,Chiroderma doriae,Bat
839,Chiroderma gorgasi,Bat
840,Chiroderma improvisum,Bat
