number,scientific_name,japanese_common_name
99,Akodon lutescens,ネズミ
100,Akodon mimus,ネズミ
101,Akodon molinae,ネズミ
102,Akodon mollis,ネズミ
103,Akodon montensis,ネズミ
104,Akodon mystax,ネズミ
105,Akodon oenos,ネズミ
106,Akodon orophilus,ネズミ
107,Akodon paranaensis,ネズミ
108,Akodon philipmyersi,ネズミ
109,Akodon polopi,ネズミ
110,Akodon reigi,ネズミ
111,Akodon serrensis,ネズミ
112,Akodon siberiae,ネズミ
113,Akodon simulator,ネズミ
114,Akodon spegazzinii,ネズミ
115,Akodon subfuscus,ネズミ
116,Akodon sylvanus,ネズミ
117,Akodon tartareus,ネズミ
118,Akodon toba,ネズミ
119,Akodon torques,ネズミ
120,Akodon urichi,ネズミ
121,Akodon varius,ネズミ
122,Akodon viridescens,ネズミ
123,Alcelaphus buselaphus,ウシ
124,Alcelaphus caama,ウシ
126,Alces alces,ヘラジカ
127,Alces americanus,ヘラジカ
128,Alexandromys evoronensis,ネズミ
129,Alexandromys fortis,ネズミ
130,Alexandromys kikuchii,ネズミ
131,Alexandromys limnophilus,ネズミ
132,Alexandromys maximowiczii,ネズミ
133,Alexandromys middendorffii,ネズミ
134,Alexandromys mongolicus,ネズミ
135,Alexandromys montebelli,ハタネズミ
136,Alexandromys mujanensis,ネズミ
137,Alexandromys oeconomus,ネズミ
138,Alexandromys sachalinensis,ネズミ
139,Alexandromys shantaricus,ネズミ
140,Alionycteris paucidentata,コウモリ
141,Allactaga firouzi,ネズミ
142,Allactaga major,ネズミ
143,Allactaga severtzovi,ネズミ
144,Allactodipus bobrinskii,ネズミ
145,Allenopithecus nigroviridis,サル
146,Allocebus trichotus,サル
147,Allochrocebus lhoesti,サル
148,Allochrocebus preussi,サル
149,Allochrocebus solatus,サル
150,Allocricetulus curtatus,ハムスター
151,Allocricetulus eversmanni,ハムスター
152,Alouatta belzebul,サル
153,Alouatta caraya,サル
154,Alouatta discolor,サル
155,Alouatta guariba,サル
156,Alouatta juara,サル
157,Alouatta macconnelli,サル
158,Alouatta palliata,サル
159,Alouatta pigra,サル
160,Alouatta sara,サル
161,Alouatta seniculus,サル
162,Alouatta stramineus,サル
163,Alouatta ululata,サル
164,Alticola albicauda,ネズミ
165,Alticola argentatus,ネズミ
166,Alticola barakshin,ネズミ
167,Alticola lemminus,ネズミ
168,Alticola macrotis,ネズミ
169,Alticola montosus,ネズミ
170,Alticola olchonensis,ネズミ
171,Alticola semicanus,ネズミ
172,Alticola stoliczkanus,ネズミ
173,Alticola stracheyi,ネズミ
174,Alticola strelzovi,ネズミ
175,Alticola tuvinicus,ネズミ
176,Amblysomus corriae,モグラ
177,Amblysomus hottentotus,モグラ
178,Amblysomus marleyi,モグラ
179,Amblysomus robustus,モグラ
180,Amblysomus septentrionalis,モグラ
181,Ametrida centurio,コウモリ
182,Ammodillus imbellis,ネズミ
183,Ammospermophilus harrisii,リス
184,Ammospermophilus insularis,リス
185,Ammospermophilus interpres,リス
186,Ammospermophilus leucurus,リス
187,Ammospermophilus nelsoni,リス
188,Ammotragus lervia,ヤギ
189,Amphinectomys savamis,ネズミ
190,Anathana ellioti,リス
191,Andalgalomys olrogi,ネズミ
192,Andalgalomys pearsoni,ネズミ
193,Andalgalomys roigi,ネズミ
194,Andinomys edax,ネズミ
195,Anisomys imitator,ネズミ
196,Anomalurus beecrofti,リス
197,Anomalurus derbianus,リス
198,Anomalurus pelii,リス
199,Anomalurus pusillus,リス
200,Anonymomys mindorensis,ネズミ
201,Anotomys leander,ネズミ
202,Anoura aequatoris,コウモリ
203,Anoura cadenai,コウモリ
204,Anoura caudifer,コウモリ
205,Anoura cultrata,コウモリ
206,Anoura fistulata,コウモリ
207,Anoura geoffroyi,コウモリ
208,Anoura latidens,コウモリ
209,Anoura luismanueli,コウモリ
210,Anoura peruana,コウモリ
211,Anourosorex squamipes,モグラ
212,Anourosorex yamashinai,モグラ
213,Antechinomys laniger,ネズミ
230,Anteliomys chinensis,ネズミ
231,Anteliomys custos,ネズミ
232,Anteliomys olitor,ネズミ
233,Anteliomys proditor,ネズミ
234,Anteliomys wardi,ネズミ
235,Anthops ornatus,コウモリ
236,Antidorcas marsupialis,ガゼル
237,Antillomys rayi,ネズミ
238,Antilocapra americana,プロングホーン
239,Antilope cervicapra,ガゼル
240,Antrozous pallidus,コウモリ
241,Aonyx capensis,カワウソ
242,Aonyx cinereus,カワウソ
243,Aonyx congicus,カワウソ
244,Aotus azarai,サル
245,Aotus brumbacki,サル
246,Aotus griseimembra,サル
247,Aotus lemurinus,サル
248,Aotus nancymaae,サル
249,Aotus nigriceps,サル
250,Aotus trivirgatus,サル
251,Aotus vociferans,サル
252,Aotus zonalis,サル
254,Apodemus agrarius,ネズミ
255,Apodemus alpicola,ネズミ
256,Apodemus argenteus,ネズミ
257,Apodemus chejuensis,ネズミ
258,Apodemus chevrieri,ネズミ
259,Apodemus ciscaucasicus,ネズミ
260,Apodemus draco,ネズミ
261,Apodemus epimelas,ネズミ
262,Apodemus flavicollis,ネズミ
263,Apodemus fulvipectus,ネズミ
264,Apodemus gurkha,ネズミ
265,Apodemus hermonensis,ネズミ
266,Apodemus hyrcanicus,ネズミ
267,Apodemus iconicus,ネズミ
268,Apodemus ilex,ネズミ
269,Apodemus latronum,ネズミ
270,Apodemus mystacinus,ネズミ
271,Apodemus nigrus,ネズミ
272,Apodemus pallipes,ネズミ
273,Apodemus peninsulae,ネズミ
274,Apodemus ponticus,ネズミ
275,Apodemus rusiges,ネズミ
276,Apodemus semotus,ネズミ
277,Apodemus speciosus,ネズミ
278,Apodemus sylvaticus,ネズミ
279,Apodemus uralensis,ネズミ
280,Apodemus wardi,ネズミ
281,Apodemus witherbyi,ネズミ
282,Apomys abrae,ネズミ
283,Apomys aurorae,ネズミ
284,Apomys banahao,ネズミ
285,Apomys brownorum,ネズミ
286,Apomys camiguinensis,ネズミ
287,Apomys datae,ネズミ
288,Apomys gracilirostris,ネズミ
289,Apomys hylocoetes,ネズミ
290,Apomys insignis,ネズミ
291,Apomys iridensis,ネズミ
292,Apomys littoralis,ネズミ
293,Apomys lubangensis,ネズミ
294,Apomys magnus,ネズミ
295,Apomys microdon,ネズミ
296,Apomys minganensis,ネズミ
297,Apomys musculus,ネズミ
298,Apomys sacobianus,ネズミ
299,Apomys sierrae,ネズミ
300,Apomys zambalensis,ネズミ
301,Aproteles bulmerae,コウモリ
303,Arborimus albipes,ネズミ
304,Arborimus longicaudus,ネズミ
305,Arborimus pomo,ネズミ
306,Archaeolemur edwardsi,サル
307,Archaeolemur majori,サル
308,Archboldomys luzonensis,ネズミ
309,Archboldomys maximus,ネズミ
310,Arctictis binturong,ビントロング
311,Arctocebus aureus,サル
312,Arctocebus calabarensis,サル
313,Arctocephalus australis,アシカ
314,Arctocephalus forsteri,アシカ
315,Arctocephalus galapagoensis,アシカ
316,Arctocephalus gazella,アザラシ
317,Arctocephalus philippii,アシカ
318,Arctocephalus pusillus,アシカ
319,Arctocephalus townsendi,アシカ
320,Arctocephalus tropicalis,アシカ
321,Arctodus simus,クマ
323,Arctonyx collaris,イノシシ
324,Ardops nichollsi,コウモリ
325,Arielulus circumdatus,コウモリ
326,Arielulus cuprosus,コウモリ
327,Ariteus flavescens,コウモリ
328,Artibeus aequatorialis,コウモリ
329,Artibeus amplus,コウモリ
330,Artibeus anderseni,コウモリ
331,Artibeus aztecus,コウモリ
332,Artibeus cinereus,コウモリ
333,Artibeus concolor,コウモリ
334,Artibeus fimbriatus,コウモリ
335,Artibeus fraterculus,コウモリ
336,Artibeus glaucus,コウモリ
337,Artibeus hartii,コウモリ
338,Artibeus hirsutus,コウモリ
339,Artibeus inopinatus,コウモリ
340,Artibeus intermedius,コウモリ
341,Artibeus jamaicensis,コウモリ
342,Artibeus lituratus,コウモリ
343,Artibeus obscurus,コウモリ
344,Artibeus planirostris,コウモリ
345,Artibeus schwartzi,コウモリ
346,Artibeus toltecus,コウモリ
347,Arvicanthis abyssinicus,ネズミ
348,Arvicanthis ansorgei,ネズミ
349,Arvicanthis blicki,ネズミ
350,Arvicanthis dembeensis,ネズミ
351,Arvicanthis nairobae,ネズミ
352,Arvicanthis neumanni,ネズミ
353,Arvicanthis niloticus,ネズミ
354,Arvicanthis rufinus,ネズミ
355,Arvicanthis somalicus,ネズミ
356,Arvicola amphibius,ネズミ
357,Arvicola italicus,ネズミ
358,Arvicola persicus,ネズミ
359,Arvicola sapidus,ネズミ
360,Arvicola scherman,ネズミ
361,Asellia arabica,コウモリ
362,Asellia italosomalica,コウモリ
363,Asellia tridens,コウモリ
364,Aselliscus dongbacanus,コウモリ
365,Aselliscus stoliczkanus,コウモリ
366,Aselliscus tricuspidatus,コウモリ
367,Atelerix albiventris,ハリネズミ
368,Atelerix algirus,ハリネズミ
369,Atelerix frontalis,ハリネズミ
370,Ateles belzebuth,サル
371,Ateles chamek,サル
372,Ateles fusciceps,サル
373,Ateles geoffroyi,サル
374,Ateles hybridus,サル
375,Ateles marginatus,サル
376,Ateles paniscus,サル
377,Atelocynus microtis,イヌ
378,Atherurus africanus,ヤマアラシ
379,Atherurus macrourus,ヤマアラシ
380,Atilax paludinosus,マングース
381,Atlantoxerus getulus,リス
383,Auliscomys boliviensis,ネズミ
384,Auliscomys pictus,ネズミ
385,Auliscomys sublimis,ネズミ
386,Avahi betsileo,サル
387,Avahi cleesei,サル
388,Avahi laniger,サル
389,Avahi meridionalis,サル
390,Avahi occidentalis,サル
391,Avahi peyrierasi,サル
392,Avahi unicolor,サル
393,Axis axis,シカ
394,Axis kuhlii,シカ
395,Axis porcinus,シカ
396,Babyrousa babyrussa,バビルサ
397,Babyrousa celebensis,バビルサ
398,Baeodon alleni,ネズミ
400,Baiomys brunneus,ネズミ
401,Baiomys musculus,ネズミ
402,Baiomys taylori,ネズミ
403,Baiyankamys habbema,ネズミ
404,Balaena mysticetus,クジラ
405,Balaenoptera acutorostrata,クジラ
406,Balaenoptera bonaerensis,クジラ
407,Balaenoptera borealis,クジラ
408,Balaenoptera brydei,クジラ
409,Balaenoptera edeni,クジラ
410,Balaenoptera musculus,クジラ
411,Balaenoptera omurai,クジラ
412,Balaenoptera physalus,クジラ
413,Balaenoptera ricei,クジラ
414,Balantiopteryx infusca,コウモリ
415,Balantiopteryx io,コウモリ
416,Balantiopteryx plicata,コウモリ
417,Balionycteris maculata,コウモリ
418,Bandicota bengalensis,ネズミ
419,Bandicota indica,ネズミ
420,Bandicota savilei,ネズミ
421,Barbastella barbastellus,コウモリ
422,Barbastella beijingensis,コウモリ
423,Barbastella caspica,コウモリ
424,Barbastella darjelingensis,コウモリ
425,Barbastella leucomelas,コウモリ
426,Barbastella pacifica,コウモリ
434,Bathyergus janetta,モグラ
435,Bathyergus suillus,モグラ
436,Batomys granti,ネズミ
437,Batomys hamiguitan,ネズミ
438,Batomys russatus,ネズミ
439,Batomys salomonseni,ネズミ
440,Batomys uragon,ネズミ
441,Bauerus dubiaquercus,コウモリ
445,Beamys hindei,ネズミ
446,Beamys major,ネズミ
448,Belomys pearsonii,リス
449,Berardius arnuxii,クジラ
450,Berardius bairdii,クジラ
451,Berardius minimus,クジラ
452,Berylmys berdmorei,ネズミ
453,Berylmys bowersi,ネズミ
454,Berylmys latouchei,ネズミ
455,Berylmys mackenziei,ネズミ
456,Berylmys manipulus,ネズミ
458,Bettongia gaimardi,カンガルー
460,Bettongia penicillata,カンガルー
461,Bettongia tropica,カンガルー
462,Bibimys chacoensis,ネズミ
463,Bibimys labiosus,ネズミ
464,Bibimys torresi,ネズミ
466,Bison antiquus,バイソン
467,Bison bison,バイソン
468,Bison bonasus,バイソン
469,Bison priscus,バイソン
470,Bison schoetensacki,バイソン
471,Biswamoyopterus biswasi,リス
472,Blanfordimys bucharensis,ネズミ
473,Blarina brevicauda,モグラ
474,Blarina carolinensis,モグラ
475,Blarina hylophaga,モグラ
476,Blarinella quadraticauda,モグラ
477,Blarinella wardi,モグラ
478,Blarinomys breviceps,ネズミ
479,Blastocerus dichotomus,シカ
480,Boneia bidens,ネズミ
482,Boromys offella,ネズミ
483,Bos frontalis,ガウル
484,Bos gaurus,ウシ
485,Bos grunniens,ヤク
486,Bos indicus,ウシ
487,Bos javanicus,ウシ
488,Bos mutus,ヤク
489,Bos primigenius,ウシ
491,Bos taurus,ウシ
492,Boselaphus tragocamelus,ニルガイ
494,Brachylagus idahoensis,ウサギ
495,Brachyphylla cavernarum,コウモリ
496,Brachyphylla nana,コウモリ
497,Brachytarsomys albicauda,ネズミ
498,Brachytarsomys villosus,ネズミ
499,Brachyteles arachnoides,サル
500,Brachyteles hypoxanthus,サル
501,Brachyuromys betsileoensis,ネズミ
502,Brachyuromys ramirohitra,ネズミ
503,Bradypus crinitus,ナマケモノ
504,Bradypus pygmaeus,ナマケモノ
505,Bradypus torquatus,ナマケモノ
506,Bradypus tridactylus,ナマケモノ
507,Bradypus variegatus,ナマケモノ
508,Bramus fuscocapillus,ネズミ
510,Brotomys voratus,ネズミ
511,Brucepattersonius griserufescens,ネズミ
512,Brucepattersonius igniventris,ネズミ
513,Brucepattersonius nebulosus,ネズミ
514,Brucepattersonius soricinus,ネズミ
515,Bubalus arnee,スイギュウ
516,Bubalus bubalis,スイギュウ
517,Bubalus depressicornis,バッファロー
518,Bubalus kerabau,スイギュウ
521,Bubalus quarlesi,バッファロー
523,Budorcas taxicolor,タケシカ
524,Budorcas tibetana,タケシカ
525,Bullimus bagobus,ネズミ
526,Bullimus gamay,ネズミ
527,Bullimus luzonicus,ネズミ
528,Bunolagus monticularis,ウサギ
529,Bunomys andrewsi,ネズミ
530,Bunomys chrysocomus,ネズミ
531,Bunomys coelestis,ネズミ
532,Bunomys penitus,ネズミ
533,Bunomys prolatus,ネズミ
534,Bunomys torajae,ネズミ
536,Cabassous centralis,アルマジロ
537,Cabassous chacoensis,アルマジロ
538,Cabassous tatouay,アルマジロ
539,Cabassous unicinctus,アルマジロ
540,Cacajao amuna,サル
541,Cacajao ayresi,サル
542,Cacajao calvus,サル
543,Cacajao hosomi,サル
544,Cacajao melanocephalus,サル
545,Cacajao rubicundus,サル
551,Calassomys apicalis,ネズミ
552,Calcochloris obtusirostris,モグラ
553,Callicebus caquetensis,サル
554,Callicebus coimbrai,サル
555,Callicebus dubius,サル
556,Callicebus nigrifrons,サル
557,Callicebus ornatus,サル
558,Callicebus personatus,サル
559,Callimico goeldii,サル
560,Callistomys pictus,ネズミ
561,Callithrix aurita,サル
562,Callithrix flaviceps,サル
563,Callithrix geoffroyi,サル
564,Callithrix jacchus,サル
565,Callithrix kuhlii,サル
566,Callithrix penicillata,サル
567,Callorhinus ursinus,アザラシ
568,Callosciurus adamsi,リス
569,Callosciurus albescens,リス
570,Callosciurus baluensis,リス
571,Callosciurus caniceps,リス
572,Callosciurus erythraeus,リス
573,Callosciurus finlaysonii,リス
574,Callosciurus honkhoaiensis,リス
575,Callosciurus inornatus,リス
576,Callosciurus melanogaster,リス
577,Callosciurus nigrovittatus,リス
578,Callosciurus notatus,リス
579,Callosciurus orestes,リス
580,Callosciurus phayrei,リス
581,Callosciurus prevostii,リス
582,Callosciurus pygerythrus,リス
583,Callosciurus quinquestriatus,リス
584,Callospermophilus lateralis,リス
585,Callospermophilus madrensis,リス
586,Callospermophilus saturatus,リス
587,Calomys boliviae,ネズミ
588,Calomys callidus,ネズミ
589,Calomys callosus,ネズミ
590,Calomys cerqueirai,ネズミ
591,Calomys expulsus,ネズミ
592,Calomys fecundus,ネズミ
593,Calomys hummelincki,ネズミ
594,Calomys laucha,ネズミ
595,Calomys lepidus,ネズミ
596,Calomys musculinus,ネズミ
597,Calomys sorella,ネズミ
598,Calomys tener,ネズミ
599,Calomys tocantinsi,ネズミ
600,Calomys venustus,ネズミ
601,Calomyscus bailwardi,ネズミ
602,Calomyscus baluchi,ネズミ
603,Calomyscus behzadi,ネズミ
604,Calomyscus darvishi,ネズミ
605,Calomyscus elburzensis,ネズミ
606,Calomyscus grandis,ネズミ
607,Calomyscus hotsoni,ネズミ
608,Calomyscus kermanensis,ネズミ
609,Calomyscus kiabii,ネズミ
610,Calomyscus mystax,ネズミ
611,Calomyscus urartensis,ネズミ
612,Caloprymnus campestris,カンガルー
618,Camelops hesternus,ラクダ
619,Camelus bactrianus,ラクダ
620,Camelus dromedarius,ラクダ
621,Camelus ferus,ラクダ
622,Camelus knoblochi,ラクダ
623,Canis adustus,イヌ
624,Canis aureus,ジャッカル
625,Canis himalayensis,オオカミ
626,Canis indica,イヌ
627,Canis latrans,コヨーテ
628,Canis lupaster,オオカミ
629,Canis lupus,オオカミ
630,Canis mesomelas,ジャッカル
631,Canis rufus,オオカミ
632,Canis simensis,オオカミ
633,Cannomys badius,ネズミ
634,Cansumys canus,ネズミ
635,Caperea marginata,クジラ
636,Capra aegagrus,ヤギ
637,Capra caucasica,ヤギ
638,Capra cylindricornis,ヤギ
639,Capra falconeri,ヤギ
640,Capra hircus,ヤギ
641,Capra ibex,ヤギ
642,Capra nubiana,ヤギ
643,Capra pyrenaica,ヤギ
644,Capra sibirica,ヤギ
645,Capra walie,ヤギ
646,Capreolus capreolus,ノロジカ
647,Capreolus pygargus,シカ
648,Capricornis crispus,ニホンカモシカ
649,Capricornis milneedwardsii,カモシカ
650,Capricornis rubidus,ヤギ
651,Capricornis sumatraensis,カモシカ
652,Capricornis swinhoei,カモシカ
653,Capricornis thar,ヤギ
654,Caprolagus hispidus,ウサギ
656,Capromys pilorides,ネズミ
657,Caracal caracal,オオヤマネコ
658,Cardiocranius paradoxus,ネズミ
659,Cardioderma cor,コウモリ
660,Carlito syrichta,メガネザル
661,Carollia benkeithi,コウモリ
662,Carollia brevicauda,コウモリ
663,Carollia castanea,コウモリ
664,Carollia manu,コウモリ
665,Carollia perspicillata,コウモリ
666,Carollia sowelli,コウモリ
667,Carollia subrufa,コウモリ
668,Carpitalpa arendsi,モグラ
669,Carpomys melanurus,ネズミ
670,Carpomys phaeurus,ネズミ
671,Carterodon sulcidens,ネズミ
672,Casinycteris argynnis,コウモリ
673,Casinycteris campomaanensis,コウモリ
674,Casinycteris ophiodon,コウモリ
675,Cassistrellus dimissus,コウモリ
676,Cassistrellus yokdonensis,コウモリ
677,Castor canadensis,ビーバー
678,Castor fiber,ビーバー
679,Castoria angustidens,ビーバー
680,Castoroides ohioensis,ビーバー
681,Catagonus wagneri,イノシシ
684,Cavia aperea,モルモット
685,Cavia cutleri,モルモット
686,Cavia fulgida,モルモット
687,Cavia magna,モルモット
688,Cavia patzelti,モルモット
689,Cavia porcellus,モルモット
690,Cavia tschudii,モルモット
691,Cebuella niveiventris,サル
692,Cebuella pygmaea,ピグミーマーモセット
693,Cebus aequatorialis,サル
694,Cebus albifrons,サル
695,Cebus capucinus,サル
696,Cebus castaneus,サル
697,Cebus imitator,サル
698,Cebus kaapori,サル
699,Cebus olivaceus,サル
700,Cebus unicolor,サル
701,Cebus versicolor,サル
702,Centronycteris centralis,コウモリ
703,Centronycteris maximiliani,コウモリ
704,Centurio senex,コウモリ
705,Cephalopachus bancanus,メガネザル
715,Cephalophula zebra,シマウマ
721,Cephalorhynchus commersonii,イルカ
722,Cephalorhynchus eutropia,イルカ
723,Cephalorhynchus heavisidii,イルカ
724,Cephalorhynchus hectori,イルカ
725,Ceratotherium simum,サイ
730,Cercocebus agilis,サル
731,Cercocebus atys,サル
732,Cercocebus chrysogaster,サル
733,Cercocebus galeritus,サル
734,Cercocebus lunulatus,サル
735,Cercocebus torquatus,サル
736,Cercopithecus albogularis,サル
737,Cercopithecus ascanius,サル
738,Cercopithecus campbelli,サル
739,Cercopithecus cephus,サル
740,Cercopithecus denti,サル
741,Cercopithecus diana,サル
742,Cercopithecus doggetti,サル
743,Cercopithecus erythrogaster,サル
744,Cercopithecus erythrotis,サル
745,Cercopithecus hamlyni,サル
746,Cercopithecus kandti,サル
747,Cercopithecus lomamiensis,サル
748,Cercopithecus mitis,サル
749,Cercopithecus mona,サル
750,Cercopithecus neglectus,サル
751,Cercopithecus nictitans,サル
752,Cercopithecus petaurista,サル
753,Cercopithecus pogonias,サル
754,Cercopithecus roloway,サル
755,Cercopithecus sclateri,サル
756,Cercopithecus wolfi,サル
757,Cerdocyon thous,キツネ
758,Cerradomys akroai,ネズミ
759,Cerradomys goytaca,ネズミ
760,Cerradomys langguthi,ネズミ
761,Cerradomys maracajuensis,ネズミ
762,Cerradomys marinhus,ネズミ
763,Cerradomys scotti,ネズミ
764,Cerradomys subflavus,ネズミ
765,Cerradomys vivoi,ネズミ
766,Cervus albirostris,シカ
767,Cervus canadensis,エルク
768,Cervus elaphus,シカ
769,Cervus hanglu,シカ
770,Cervus nippon,シカ
773,Chaetodipus ammophilus,ネズミ
774,Chaetodipus arenarius,ネズミ
775,Chaetodipus artus,ネズミ
776,Chaetodipus baileyi,ネズミ
777,Chaetodipus californicus,ネズミ
778,Chaetodipus collis,ネズミ
779,Chaetodipus dalquesti,ネズミ
780,Chaetodipus durangae,ネズミ
781,Chaetodipus eremicus,ネズミ
782,Chaetodipus fallax,ネズミ
783,Chaetodipus formosus,ネズミ
784,Chaetodipus goldmani,ネズミ
785,Chaetodipus hispidus,ネズミ
786,Chaetodipus intermedius,ネズミ
787,Chaetodipus nelsoni,ネズミ
788,Chaetodipus penicillatus,ネズミ
789,Chaetodipus pernix,ネズミ
790,Chaetodipus rudinoris,ネズミ
791,Chaetodipus spinatus,ネズミ
792,Chaetomys subspinosus,ヤマアラシ
793,Chaetophractus vellerosus,アルマジロ
794,Chaetophractus villosus,アルマジロ
795,Chalinolobus dwyeri,コウモリ
796,Chalinolobus gouldii,コウモリ
797,Chalinolobus morio,コウモリ
798,Chalinolobus neocaledonicus,コウモリ
799,Chalinolobus nigrogriseus,コウモリ
800,Chalinolobus picatus,コウモリ
801,Chalinolobus tuberculatus,コウモリ
803,Cheirogaleus crossleyi,サル
804,Cheirogaleus grovesi,サル
806,Cheirogaleus major,サル
807,Cheirogaleus medius,サル
808,Cheirogaleus minusculus,サル
809,Cheirogaleus shethi,サル
810,Cheirogaleus sibreei,サル
811,Cheiromeles parvidens,コウモリ
812,Cheiromeles torquatus,コウモリ
813,Chelemys megalonyx,ネズミ
814,Cheracebus lucifer,サル
815,Cheracebus lugens,サル
816,Cheracebus medemi,サル
817,Cheracebus purinus,サル
818,Cheracebus regulus,サル
819,Cheracebus torquatus,サル
821,Chibchanomys trichotis,ネズミ
822,Chilomys instans,ネズミ
823,Chilonatalus micropus,コウモリ
824,Chilonatalus tumidifrons,コウモリ
825,Chimaerodipus auritus,ネズミ
826,Chimarrogale himalayica,モグラ
827,Chimarrogale leander,モグラ
828,Chimarrogale phaeura,モグラ
829,Chimarrogale platycephalus,カワネズミ
830,Chimarrogale styani,モグラ
831,Chimarrogale varennei,モグラ
832,Chinchilla chinchilla,チンチラ
833,Chinchilla lanigera,チンチラ
834,Chinchillula sahamae,チンチラ
835,Chionomys gud,ネズミ
836,Chionomys nivalis,ネズミ
837,Chionomys roberti,ネズミ
838,Chiroderma doriae,コウモリ
839,Chiroderma gorgasi,コウモリ
840,Chiroderma improvisum,コウモリ
841,Chiroderma salvini,コウモリ
842,Chiroderma scopaeum,コウモリ
843,Chiroderma trinitatum,コウモリ
844,Chiroderma villosum,コウモリ
845,Chiromyscus chiropus,ネズミ
846,Chiromyscus langbianis,ネズミ
847,Chiromyscus thomasi,ネズミ
848,Chironax melanocephalus,コウモリ
850,Chiropodomys gliroides,ネズミ
851,Chiropodomys major,ネズミ
852,Chiropodomys pusillus,ネズミ
853,Chiropotes albinasus,サル
854,Chiropotes chiropotes,サル
855,Chiropotes israelita,サル
856,Chiropotes sagulatus,サル
857,Chiropotes satanas,サル
858,Chiropotes utahickae,サル
859,Chiruromys vates,ネズミ
860,Chlamyphorus truncatus,アルマジロ
861,Chlorocebus aethiops,サル
862,Chlorocebus cynosuros,サル
863,Chlorocebus djamdjamensis,サル
864,Chlorocebus dryas,サル
865,Chlorocebus pygerythrus,サル
866,Chlorocebus sabaeus,サル
867,Chlorocebus tantalus,サル
868,Chlorotalpa duthieae,モグラ
869,Chlorotalpa sclateri,モグラ
871,Chodsigoa dabieshanensis,モグラ
872,Chodsigoa furva,モグラ
873,Chodsigoa hoffmanni,モグラ
874,Chodsigoa hypsibia,モグラ
