number,scientific_name,english_common_name,japanese_common_name
92,Akodon josemariarguedasi,Mouse,ネズミ
93,Akodon juninensis,Mouse,ネズミ
94,Akodon kadiweu,Mouse,ネズミ
95,Akodon kofordi,Mouse,ネズミ
96,Akodon kotosh,Mouse,ネズミ
97,Akodon latebricola,Mouse,ネズミ
98,Akodon lindberghi,Mouse,ネズミ
99,Akodon lutescens,Mouse,ネズミ
100,Akodon mimus,Mouse,ネズミ
101,Akodon molinae,Mouse,ネズミ
102,Akodon mollis,Mouse,ネズミ
103,Akodon montensis,Mouse,ネズミ
104,Akodon mystax,Mouse,ネズミ
105,Akodon oenos,Mouse,ネズミ
106,Akodon orophilus,Mouse,ネズミ
107,Akodon paranaensis,Mouse,ネズミ
108,Akodon philipmyersi,Mouse,ネズミ
109,Akodon polopi,Mouse,ネズミ
110,Akodon reigi,Mouse,ネズミ
111,Akodon serrensis,Mouse,ネズミ
112,Akodon siberiae,Mouse,ネズミ
113,Akodon simulator,Mouse,ネズミ
114,Akodon spegazzinii,Mouse,ネズミ
115,Akodon subfuscus,Mouse,ネズミ
116,Akodon sylvanus,Mouse,ネズミ
117,Akodon tartareus,Mouse,ネズミ
118,Akodon toba,Mouse,ネズミ
119,Akodon torques,Mouse,ネズミ
120,Akodon urichi,Mouse,ネズミ
121,Akodon varius,Mouse,ネズミ
122,Akodon viridescens,Mouse,ネズミ
123,Alcelaphus buselaphus,Hartebeest,ウシ
124,Alcelaphus caama,Hartebeest,ウシ
125,Alcelaphus lichtensteini,Antelope,なし
126,Alces alces,Moose,ヘラジカ
127,Alces americanus,Moose,ヘラジカ
128,Alexandromys evoronensis,Mouse,ネズミ
129,Alexandromys fortis,Mouse,ネズミ
130,Alexandromys kikuchii,Mouse,ネズミ
131,Alexandromys limnophilus,Mouse,ネズミ
132,Alexandromys maximowiczii,Mouse,ネズミ
133,Alexandromys middendorffii,Mouse,ネズミ
134,Alexandromys mongolicus,Mouse,ネズミ
135,Alexandromys montebelli,Mouse,ハタネズミ
136,Alexandromys mujanensis,Mouse,ネズミ
137,Alexandromys oeconomus,Vole,ネズミ
138,Alexandromys sachalinensis,Mouse,ネズミ
139,Alexandromys shantaricus,Mouse,ネズミ
140,Alionycteris paucidentata,Bat,コウモリ
141,Allactaga firouzi,Jerboa,ネズミ
142,Allactaga major,Jerboa,ネズミ
143,Allactaga severtzovi,Jerboa,ネズミ
144,Allactodipus bobrinskii,Jerboa,ネズミ
145,Allenopithecus nigroviridis,Monkey,サル
146,Allocebus trichotus,Monkey,サル
147,Allochrocebus lhoesti,Monkey,サル
148,Allochrocebus preussi,Monkey,サル
149,Allochrocebus solatus,Monkey,サル
150,Allocricetulus curtatus,Hamster,ハムスター
151,Allocricetulus eversmanni,Hamster,ハムスター
152,Alouatta belzebul,Monkey,サル
153,Alouatta caraya,Howler Monkey,サル
154,Alouatta discolor,Monkey,サル
155,Alouatta guariba,Howler Monkey,サル
156,Alouatta juara,Monkey,サル
157,Alouatta macconnelli,Monkey,サル
158,Alouatta palliata,Howler Monkey,サル
159,Alouatta pigra,Howler Monkey,サル
160,Alouatta sara,Monkey,サル
161,Alouatta seniculus,Howler Monkey,サル
162,Alouatta stramineus,Monkey,サル
163,Alouatta ululata,Howler Monkey,サル
164,Alticola albicauda,Mouse,ネズミ
165,Alticola argentatus,Mouse,ネズミ
166,Alticola barakshin,Mouse,ネズミ
167,Alticola lemminus,Mouse,ネズミ
168,Alticola macrotis,Mouse,ネズミ
169,Alticola montosus,Mouse,ネズミ
170,Alticola olchonensis,Mouse,ネズミ
171,Alticola semicanus,Mouse,ネズミ
172,Alticola stoliczkanus,Mouse,ネズミ
173,Alticola stracheyi,Mouse,ネズミ
174,Alticola strelzovi,Mouse,ネズミ
175,Alticola tuvinicus,Mouse,ネズミ
176,Amblysomus corriae,Golden Mole,モグラ
177,Amblysomus hottentotus,Golden Mole,モグラ
178,Amblysomus marleyi,Golden Mole,モグラ
179,Amblysomus robustus,Mole,モグラ
180,Amblysomus septentrionalis,Golden Mole,モグラ
181,Ametrida centurio,Bat,コウモリ
182,Ammodillus imbellis,None,ネズミ
183,Ammospermophilus harrisii,Harris's Antelope Squirrel,リス
184,Ammospermophilus insularis,Squirrel,リス
185,Ammospermophilus interpres,Antelope Squirrel,リス
186,Ammospermophilus leucurus,Antelope Squirrel,リス
187,Ammospermophilus nelsoni,Squirrel,リス
188,Ammotragus lervia,Barbary Sheep,ヤギ
189,Amphinectomys savamis,Mouse,ネズミ
190,Anathana ellioti,Monkey,リス
191,Andalgalomys olrogi,Mouse,ネズミ
192,Andalgalomys pearsoni,Mouse,ネズミ
193,Andalgalomys roigi,Mouse,ネズミ
194,Andinomys edax,Mouse,ネズミ
195,Anisomys imitator,Rat,ネズミ
196,Anomalurus beecrofti,Flying Squirrel,リス
197,Anomalurus derbianus,Flying Squirrel,リス
198,Anomalurus pelii,Flying Squirrel,リス
199,Anomalurus pusillus,Flying Squirrel,リス
200,Anonymomys mindorensis,Mouse,ネズミ
201,Anotomys leander,Mouse,ネズミ
202,Anoura aequatoris,Bat,コウモリ
203,Anoura cadenai,Bat,コウモリ
204,Anoura caudifer,Bat,コウモリ
205,Anoura cultrata,Bat,コウモリ
206,Anoura fistulata,Bat,コウモリ
207,Anoura geoffroyi,Bat,コウモリ
208,Anoura latidens,Bat,コウモリ
209,Anoura luismanueli,Bat,コウモリ
210,Anoura peruana,Bat,コウモリ
211,Anourosorex squamipes,Shrew,モグラ
212,Anourosorex yamashinai,Shrew,モグラ
213,Antechinomys laniger,Mouse,ネズミ
214,Antechinomys longicaudatus,None,なし
215,Antechinus adustus,Mouse,なし
216,Antechinus agilis,Mouse,なし
217,Antechinus argentus,Mouse,なし
218,Antechinus arktos,Mouse,なし
219,Antechinus bellus,Mouse,なし
220,Antechinus flavipes,Mouse,なし
221,Antechinus godmani,Mouse,なし
222,Antechinus leo,Mouse,なし
223,Antechinus mimetes,Mouse,なし
224,Antechinus minimus,Mouse,なし
225,Antechinus mysticus,Mouse,なし
226,Antechinus stuartii,Mouse,なし
227,Antechinus subtropicus,Mouse,なし
228,Antechinus swainsonii,Mouse,なし
229,Antechinus vandycki,Mouse,なし
230,Anteliomys chinensis,Mouse,ネズミ
231,Anteliomys custos,Mouse,ネズミ
232,Anteliomys olitor,Mouse,ネズミ
233,Anteliomys proditor,Mouse,ネズミ
234,Anteliomys wardi,Mouse,ネズミ
235,Anthops ornatus,Bat,コウモリ
236,Antidorcas marsupialis,Springbok,ガゼル
237,Antillomys rayi,Mouse,ネズミ
238,Antilocapra americana,Pronghorn,プロングホーン
239,Antilope cervicapra,Blackbuck,ガゼル
240,Antrozous pallidus,Bat,コウモリ
241,Aonyx capensis,Otter,カワウソ
242,Aonyx cinereus,Otter,カワウソ
243,Aonyx congicus,Otter,カワウソ
244,Aotus azarai,Monkey,サル
245,Aotus brumbacki,Monkey,サル
246,Aotus griseimembra,Monkey,サル
247,Aotus lemurinus,Monkey,サル
248,Aotus nancymaae,Monkey,サル
249,Aotus nigriceps,Monkey,サル
250,Aotus trivirgatus,Monkey,サル
251,Aotus vociferans,Monkey,サル
252,Aotus zonalis,Monkey,サル
253,Aplodontia rufa,Mountain Beaver,なし
254,Apodemus agrarius,Mouse,ネズミ
255,Apodemus alpicola,Mouse,ネズミ
256,Apodemus argenteus,Mouse,ネズミ
257,Apodemus chejuensis,Mouse,ネズミ
258,Apodemus chevrieri,Mouse,ネズミ
259,Apodemus ciscaucasicus,Mouse,ネズミ
260,Apodemus draco,Mouse,ネズミ
261,Apodemus epimelas,Mouse,ネズミ
262,Apodemus flavicollis,Mouse,ネズミ
263,Apodemus fulvipectus,Mouse,ネズミ
264,Apodemus gurkha,Mouse,ネズミ
265,Apodemus hermonensis,Mouse,ネズミ
266,Apodemus hyrcanicus,Mouse,ネズミ
267,Apodemus iconicus,Mouse,ネズミ
268,Apodemus ilex,Mouse,ネズミ
269,Apodemus latronum,Mouse,ネズミ
270,Apodemus mystacinus,Mouse,ネズミ
271,Apodemus nigrus,Mouse,ネズミ
272,Apodemus pallipes,Mouse,ネズミ
273,Apodemus peninsulae,Mouse,ネズミ
274,Apodemus ponticus,Mouse,ネズミ
275,Apodemus rusiges,Mouse,ネズミ
276,Apodemus semotus,Mouse,ネズミ
277,Apodemus speciosus,Mouse,ネズミ
278,Apodemus sylvaticus,Mouse,ネズミ
279,Apodemus uralensis,Mouse,ネズミ
280,Apodemus wardi,Mouse,ネズミ
281,Apodemus witherbyi,Mouse,ネズミ
282,Apomys abrae,Mouse,ネズミ
283,Apomys aurorae,Mouse,ネズミ
284,Apomys banahao,Mouse,ネズミ
285,Apomys brownorum,Mouse,ネズミ
286,Apomys camiguinensis,Mouse,ネズミ
287,Apomys datae,Mouse,ネズミ
288,Apomys gracilirostris,Mouse,ネズミ
289,Apomys hylocoetes,Mouse,ネズミ
290,Apomys insignis,Mouse,ネズミ
291,Apomys iridensis,Mouse,ネズミ
292,Apomys littoralis,Mouse,ネズミ
293,Apomys lubangensis,Mouse,ネズミ
294,Apomys magnus,Mouse,ネズミ
295,Apomys microdon,Mouse,ネズミ
296,Apomys minganensis,Mouse,ネズミ
297,Apomys musculus,Mouse,ネズミ
298,Apomys sacobianus,Mouse,ネズミ
299,Apomys sierrae,Mouse,ネズミ
300,Apomys zambalensis,Mouse,ネズミ
301,Aproteles bulmerae,Bat,コウモリ
302,Arabitragus jayakari,Goat,なし
303,Arborimus albipes,Mouse,ネズミ
304,Arborimus longicaudus,Mouse,ネズミ
305,Arborimus pomo,Mouse,ネズミ
306,Archaeolemur edwardsi,Lemur,サル
307,Archaeolemur majori,Lemur,サル
308,Archboldomys luzonensis,Mouse,ネズミ
309,Archboldomys maximus,Mouse,ネズミ
310,Arctictis binturong,Binturong,ビントロング
311,Arctocebus aureus,Monkey,サル
312,Arctocebus calabarensis,Monkey,サル
313,Arctocephalus australis,Fur Seal,アシカ
314,Arctocephalus forsteri,Fur Seal,アシカ
315,Arctocephalus galapagoensis,Galapagos Fur Seal,アシカ
316,Arctocephalus gazella,Seal,アザラシ
317,Arctocephalus philippii,Seal,アシカ
318,Arctocephalus pusillus,Seal,アシカ
319,Arctocephalus townsendi,Seal,アシカ
320,Arctocephalus tropicalis,Seal,アシカ
321,Arctodus simus,Short-faced Bear,クマ
322,Arctogalidia trivirgata,Civet,なし
323,Arctonyx collaris,Badger,イノシシ
324,Ardops nichollsi,Bat,コウモリ
325,Arielulus circumdatus,Bat,コウモリ
326,Arielulus cuprosus,Bat,コウモリ
327,Ariteus flavescens,Bat,コウモリ
328,Artibeus aequatorialis,Bat,コウモリ
329,Artibeus amplus,Bat,コウモリ
330,Artibeus anderseni,Bat,コウモリ
331,Artibeus aztecus,Bat,コウモリ
332,Artibeus cinereus,Bat,コウモリ
333,Artibeus concolor,Bat,コウモリ
334,Artibeus fimbriatus,Bat,コウモリ
335,Artibeus fraterculus,Bat,コウモリ
336,Artibeus glaucus,Bat,コウモリ
337,Artibeus hartii,Bat,コウモリ
338,Artibeus hirsutus,Bat,コウモリ
339,Artibeus inopinatus,Bat,コウモリ
340,Artibeus intermedius,Bat,コウモリ
341,Artibeus jamaicensis,Bat,コウモリ
342,Artibeus lituratus,Bat,コウモリ
343,Artibeus obscurus,Bat,コウモリ
344,Artibeus planirostris,Bat,コウモリ
345,Artibeus schwartzi,Bat,コウモリ
346,Artibeus toltecus,Bat,コウモリ
347,Arvicanthis abyssinicus,Mouse,ネズミ
348,Arvicanthis ansorgei,Mouse,ネズミ
349,Arvicanthis blicki,Mouse,ネズミ
350,Arvicanthis dembeensis,Mouse,ネズミ
351,Arvicanthis nairobae,Mouse,ネズミ
352,Arvicanthis neumanni,Mouse,ネズミ
353,Arvicanthis niloticus,Mouse,ネズミ
354,Arvicanthis rufinus,Mouse,ネズミ
355,Arvicanthis somalicus,Mouse,ネズミ
356,Arvicola amphibius,Water Vole,ネズミ
357,Arvicola italicus,Vole,ネズミ
358,Arvicola persicus,Mouse,ネズミ
359,Arvicola sapidus,Water Vole,ネズミ
360,Arvicola scherman,Vole,ネズミ
361,Asellia arabica,Bat,コウモリ
362,Asellia italosomalica,Bat,コウモリ
363,Asellia tridens,Bat,コウモリ
364,Aselliscus dongbacanus,Bat,コウモリ
365,Aselliscus stoliczkanus,Bat,コウモリ
366,Aselliscus tricuspidatus,Bat,コウモリ
367,Atelerix albiventris,Hedgehog,ハリネズミ
368,Atelerix algirus,Hedgehog,ハリネズミ
369,Atelerix frontalis,Hedgehog,ハリネズミ
370,Ateles belzebuth,Monkey,サル
371,Ateles chamek,Monkey,サル
372,Ateles fusciceps,Monkey,サル
373,Ateles geoffroyi,Spider Monkey,サル
374,Ateles hybridus,Monkey,サル
375,Ateles marginatus,Monkey,サル
376,Ateles paniscus,Spider Monkey,サル
377,Atelocynus microtis,Fox,イヌ
378,Atherurus africanus,Porcupine,ヤマアラシ
379,Atherurus macrourus,Porcupine,ヤマアラシ
380,Atilax paludinosus,Marsh Mongoose,マングース
381,Atlantoxerus getulus,Squirrel,リス
382,Atopogale cubana,Shrew,なし
383,Auliscomys boliviensis,Mouse,ネズミ
384,Auliscomys pictus,Mouse,ネズミ
385,Auliscomys sublimis,Mouse,ネズミ
386,Avahi betsileo,Lemur,サル
387,Avahi cleesei,Lemur,サル
388,Avahi laniger,Lemur,サル
389,Avahi meridionalis,Lemur,サル
390,Avahi occidentalis,Lemur,サル
391,Avahi peyrierasi,Lemur,サル
392,Avahi unicolor,Lemur,サル
393,Axis axis,Deer,シカ
394,Axis kuhlii,Deer,シカ
395,Axis porcinus,Hog Deer,シカ
396,Babyrousa babyrussa,Babirusa,バビルサ
397,Babyrousa celebensis,Babirusa,バビルサ
398,Baeodon alleni,None,ネズミ
399,Baeodon gracilis,None,なし
400,Baiomys brunneus,Mouse,ネズミ
401,Baiomys musculus,Mouse,ネズミ
402,Baiomys taylori,Mouse,ネズミ
403,Baiyankamys habbema,None,ネズミ
404,Balaena mysticetus,Bowhead Whale,クジラ
405,Balaenoptera acutorostrata,Minke Whale,クジラ
406,Balaenoptera bonaerensis,Whale,クジラ
407,Balaenoptera borealis,Whale,クジラ
408,Balaenoptera brydei,Whale,クジラ
409,Balaenoptera edeni,Whale,クジラ
410,Balaenoptera musculus,Blue Whale,クジラ
411,Balaenoptera omurai,Whale,クジラ
412,Balaenoptera physalus,Fin Whale,クジラ
413,Balaenoptera ricei,Whale,クジラ
414,Balantiopteryx infusca,Bat,コウモリ
415,Balantiopteryx io,Bat,コウモリ
416,Balantiopteryx plicata,Bat,コウモリ
417,Balionycteris maculata,Bat,コウモリ
418,Bandicota bengalensis,Rat,ネズミ
419,Bandicota indica,Rat,ネズミ
420,Bandicota savilei,Rat,ネズミ
421,Barbastella barbastellus,Bat,コウモリ
422,Barbastella beijingensis,Bat,コウモリ
423,Barbastella caspica,Bat,コウモリ
424,Barbastella darjelingensis,Bat,コウモリ
425,Barbastella leucomelas,Bat,コウモリ
426,Barbastella pacifica,Bat,コウモリ
427,Bassaricyon alleni,Olingo,なし
428,Bassaricyon beddardi,None,なし
429,Bassaricyon gabbii,Olingo,なし
430,Bassaricyon medius,None,なし
431,Bassaricyon neblina,Olinguito,なし
432,Bassariscus astutus,Ringtail,なし
433,Bassariscus sumichrasti,Raccoon,なし
434,Bathyergus janetta,Mole,モグラ
435,Bathyergus suillus,Mole,モグラ
436,Batomys granti,Mouse,ネズミ
437,Batomys hamiguitan,Mouse,ネズミ
438,Batomys russatus,Mouse,ネズミ
439,Batomys salomonseni,Mouse,ネズミ
440,Batomys uragon,Mouse,ネズミ
441,Bauerus dubiaquercus,Bat,コウモリ
442,Bdeogale crassicauda,Mongoose,なし
443,Bdeogale jacksoni,Mongoose,なし
444,Bdeogale nigripes,Mongoose,なし
445,Beamys hindei,Mouse,ネズミ
446,Beamys major,Mouse,ネズミ
447,Beatragus hunteri,Antelope,なし
448,Belomys pearsonii,Flying Squirrel,リス
449,Berardius arnuxii,Whale,クジラ
450,Berardius bairdii,Whale,クジラ
451,Berardius minimus,Whale,クジラ
452,Berylmys berdmorei,Rat,ネズミ
453,Berylmys bowersi,Mouse,ネズミ
454,Berylmys latouchei,Rat,ネズミ
455,Berylmys mackenziei,Rat,ネズミ
456,Berylmys manipulus,Rat,ネズミ
457,Bettongia anhydra,None,なし
458,Bettongia gaimardi,Bettong,カンガルー
459,Bettongia lesueur,Boodie,なし
460,Bettongia penicillata,Bettong,カンガルー
461,Bettongia tropica,None,カンガルー
462,Bibimys chacoensis,Mouse,ネズミ
463,Bibimys labiosus,Mouse,ネズミ
464,Bibimys torresi,Mouse,ネズミ
465,Bisbalus citus,None,なし
466,Bison antiquus,Bison,バイソン
467,Bison bison,Bison,バイソン
468,Bison bonasus,European Bison,バイソン
469,Bison priscus,Bison,バイソン
470,Bison schoetensacki,Bison,バイソン
471,Biswamoyopterus biswasi,Flying Squirrel,リス
472,Blanfordimys bucharensis,Mouse,ネズミ
473,Blarina brevicauda,Shrew,モグラ
474,Blarina carolinensis,Shrew,モグラ
475,Blarina hylophaga,Shrew,モグラ
476,Blarinella quadraticauda,Shrew,モグラ
477,Blarinella wardi,Shrew,モグラ
478,Blarinomys breviceps,Mouse,ネズミ
479,Blastocerus dichotomus,Deer,シカ
480,Boneia bidens,None,ネズミ
481,Bootherium bombifrons,Muskox,なし
482,Boromys offella,None,ネズミ
483,Bos frontalis,Gaur,ガウル
484,Bos gaurus,Gaur,ウシ
485,Bos grunniens,Yak,ヤク
486,Bos indicus,Zebu,ウシ
487,Bos javanicus,Banteng,ウシ
488,Bos mutus,Yak,ヤク
489,Bos primigenius,Cattle,ウシ
490,Bos sauveli,None,なし
491,Bos taurus,Cow,ウシ
492,Boselaphus tragocamelus,Nilgai,ニルガイ
493,Brachiones przewalskii,None,なし
494,Brachylagus idahoensis,Pygmy Rabbit,ウサギ
495,Brachyphylla cavernarum,Bat,コウモリ
496,Brachyphylla nana,Bat,コウモリ
497,Brachytarsomys albicauda,Mouse,ネズミ
498,Brachytarsomys villosus,Mouse,ネズミ
499,Brachyteles arachnoides,Monkey,サル
500,Brachyteles hypoxanthus,Monkey,サル
501,Brachyuromys betsileoensis,Mouse,ネズミ
502,Brachyuromys ramirohitra,Mouse,ネズミ
503,Bradypus crinitus,Sloth,ナマケモノ
504,Bradypus pygmaeus,Sloth,ナマケモノ
505,Bradypus torquatus,Sloth,ナマケモノ
506,Bradypus tridactylus,Three-toed Sloth,ナマケモノ
507,Bradypus variegatus,Sloth,ナマケモノ
508,Bramus fuscocapillus,Mouse,ネズミ
509,Bramus lutescens,None,なし
510,Brotomys voratus,Mouse,ネズミ
511,Brucepattersonius griserufescens,Mouse,ネズミ
512,Brucepattersonius igniventris,Mouse,ネズミ
513,Brucepattersonius nebulosus,Mouse,ネズミ
514,Brucepattersonius soricinus,Mouse,ネズミ
515,Bubalus arnee,Water Buffalo,スイギュウ
516,Bubalus bubalis,Water Buffalo,スイギュウ
517,Bubalus depressicornis,Buffalo,バッファロー
518,Bubalus kerabau,Water Buffalo,スイギュウ
519,Bubalus mephistopheles,Buffalo,なし
520,Bubalus mindorensis,Tamaraw,なし
521,Bubalus quarlesi,Buffalo,バッファロー
522,Bubalus wansijocki,None,なし
523,Budorcas taxicolor,Takin,タケシカ
524,Budorcas tibetana,Takin,タケシカ
525,Bullimus bagobus,Rat,ネズミ
526,Bullimus gamay,Rat,ネズミ
527,Bullimus luzonicus,Rat,ネズミ
528,Bunolagus monticularis,Rabbit,ウサギ
529,Bunomys andrewsi,Mouse,ネズミ
530,Bunomys chrysocomus,Mouse,ネズミ
531,Bunomys coelestis,Mouse,ネズミ
532,Bunomys penitus,Mouse,ネズミ
533,Bunomys prolatus,Mouse,ネズミ
534,Bunomys torajae,Mouse,ネズミ
535,Burramys parvus,Mountain Pygmy Possum,なし
536,Cabassous centralis,Armadillo,アルマジロ
537,Cabassous chacoensis,Armadillo,アルマジロ
538,Cabassous tatouay,Armadillo,アルマジロ
539,Cabassous unicinctus,Armadillo,アルマジロ
540,Cacajao amuna,Monkey,サル
541,Cacajao ayresi,Monkey,サル
542,Cacajao calvus,Monkey,サル
543,Cacajao hosomi,Monkey,サル
544,Cacajao melanocephalus,Monkey,サル
545,Cacajao rubicundus,Monkey,サル
546,Caenolestes caniventer,None,なし
547,Caenolestes condorensis,None,なし
548,Caenolestes convelatus,None,なし
549,Caenolestes fuliginosus,Shrew Opossum,なし
550,Caenolestes sangay,None,なし
551,Calassomys apicalis,Mouse,ネズミ
552,Calcochloris obtusirostris,Golden Mole,モグラ
553,Callicebus caquetensis,Monkey,サル
554,Callicebus coimbrai,Monkey,サル
555,Callicebus dubius,Monkey,サル
556,Callicebus nigrifrons,Monkey,サル
557,Callicebus ornatus,Monkey,サル
558,Callicebus personatus,Monkey,サル
559,Callimico goeldii,Monkey,サル
560,Callistomys pictus,None,ネズミ
561,Callithrix aurita,Monkey,サル
562,Callithrix flaviceps,Monkey,サル
563,Callithrix geoffroyi,Monkey,サル
564,Callithrix jacchus,Marmoset,サル
565,Callithrix kuhlii,Monkey,サル
566,Callithrix penicillata,Monkey,サル
567,Callorhinus ursinus,Northern Fur Seal,アザラシ
568,Callosciurus adamsi,Squirrel,リス
569,Callosciurus albescens,Squirrel,リス
570,Callosciurus baluensis,Squirrel,リス
571,Callosciurus caniceps,Squirrel,リス
572,Callosciurus erythraeus,Squirrel,リス
573,Callosciurus finlaysonii,Squirrel,リス
574,Callosciurus honkhoaiensis,Squirrel,リス
575,Callosciurus inornatus,Squirrel,リス
576,Callosciurus melanogaster,Squirrel,リス
577,Callosciurus nigrovittatus,Squirrel,リス
578,Callosciurus notatus,Squirrel,リス
579,Callosciurus orestes,Squirrel,リス
580,Callosciurus phayrei,Squirrel,リス
581,Callosciurus prevostii,Squirrel,リス
582,Callosciurus pygerythrus,Squirrel,リス
583,Callosciurus quinquestriatus,Squirrel,リス
584,Callospermophilus lateralis,Chipmunk,リス
585,Callospermophilus madrensis,Squirrel,リス
586,Callospermophilus saturatus,Squirrel,リス
587,Calomys boliviae,Mouse,ネズミ
588,Calomys callidus,Mouse,ネズミ
589,Calomys callosus,Mouse,ネズミ
590,Calomys cerqueirai,Mouse,ネズミ
591,Calomys expulsus,Mouse,ネズミ
592,Calomys fecundus,Mouse,ネズミ
593,Calomys hummelincki,Mouse,ネズミ
594,Calomys laucha,Mouse,ネズミ
595,Calomys lepidus,Mouse,ネズミ
596,Calomys musculinus,Mouse,ネズミ
597,Calomys sorella,Mouse,ネズミ
598,Calomys tener,Mouse,ネズミ
599,Calomys tocantinsi,Mouse,ネズミ
600,Calomys venustus,Mouse,ネズミ
601,Calomyscus bailwardi,Mouse,ネズミ
602,Calomyscus baluchi,Mouse,ネズミ
603,Calomyscus behzadi,Mouse,ネズミ
604,Calomyscus darvishi,Mouse,ネズミ
605,Calomyscus elburzensis,Mouse,ネズミ
606,Calomyscus grandis,Mouse,ネズミ
607,Calomyscus hotsoni,Mouse,ネズミ
608,Calomyscus kermanensis,Mouse,ネズミ
609,Calomyscus kiabii,Mouse,ネズミ
610,Calomyscus mystax,Mouse,ネズミ
611,Calomyscus urartensis,Mouse,ネズミ
612,Caloprymnus campestris,None,カンガルー
613,Caluromys derbianus,Opossum,なし
614,Caluromys lanatus,Opossum,なし
615,Caluromys philander,Opossum,なし
616,Caluromysiops irrupta,None,なし
617,Calyptophractus retusus,None,なし
618,Camelops hesternus,Camel,ラクダ
619,Camelus bactrianus,Bactrian Camel,ラクダ
